organized_path,source_path,version,direction,category,note
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features_with_translationese_subfeatures.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features_with_translationese_subfeatures.cluster_robust_pairwise_logistic.csv,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features_with_translationese_subfeatures.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features_with_translationese_subfeatures.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.model_vs_consensus_agreement.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.model_vs_consensus_agreement.csv,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.pairwise_agreement.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.pairwise_agreement.csv,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.consensus_borda.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.consensus_borda.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features.pairwise_observations.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features.pairwise_observations.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features_with_translationese_subfeatures.pairwise_observations.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.joint_features_with_translationese_subfeatures.pairwise_observations.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.judge_set_metadata.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.judge_set_metadata.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/03_self_excluded_judge_sets/kimi-version__EC__ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.pairwise_judgments.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.judges_excluding_candidate_generator_kimi_k2_5.pairwise_judgments.json,kimi-version,EC,03_self_excluded_judge_sets,Judge set excluding the candidate generator itself.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.crosslingual_nli_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.crosslingual_nli_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.crosslingual_nli_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.crosslingual_nli_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.crosslingual_nli_features.univariate_cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.crosslingual_nli_features.univariate_cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.crosslingual_nli_features.univariate_cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.crosslingual_nli_features.univariate_cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.gemini_embedding_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.gemini_embedding_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.gemini_embedding_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.gemini_embedding_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.all_judges_5model.joint_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.joint_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.all_judges_5model.joint_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.joint_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.local_embedding_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.local_embedding_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.local_embedding_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.local_embedding_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.target_lm_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.target_lm_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/model_based_all_judges/kimi-version__EC__ffn_200ec.target_lm_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/csv/ffn_200ec.target_lm_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/model_based_all_judges,Cluster-robust model-based regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/parser_syntax/kimi-version__EC__ffn_200ec.syntax_info_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/parser_derived_syntactic_metrics/analysis/pilot/csv/ffn_200ec.syntax_info_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/parser_syntax,Cluster-robust parser-derived syntax regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/parser_syntax/kimi-version__EC__ffn_200ec.syntax_info_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/parser_derived_syntactic_metrics/analysis/pilot/csv/ffn_200ec.syntax_info_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/parser_syntax,Cluster-robust parser-derived syntax regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/rule_based_proxy/kimi-version__EC__ffn_200ec.deep_features.cluster_robust_pairwise_logistic.csv,kimi-version/ec/results/rule_based_proxy_features/analysis/pilot/csv/ffn_200ec.deep_features.cluster_robust_pairwise_logistic.csv,kimi-version,EC,04_cluster_robust_regressions/rule_based_proxy,Cluster-robust rule-based proxy regression output.
data/organized_analysis_outputs/04_cluster_robust_regressions/rule_based_proxy/kimi-version__EC__ffn_200ec.deep_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version/ec/results/rule_based_proxy_features/analysis/pilot/csv/ffn_200ec.deep_features.cluster_robust_pairwise_logistic.method_notes.json,kimi-version,EC,04_cluster_robust_regressions/rule_based_proxy,Cluster-robust rule-based proxy regression output.
data/organized_analysis_outputs/05_feature_matrices/model_based_features/kimi-version__EC__ffn_200ec.crosslingual_nli_features.by_candidate.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.crosslingual_nli_features.by_candidate.json,kimi-version,EC,05_feature_matrices/model_based_features,Per-candidate model-based feature matrix.
data/organized_analysis_outputs/05_feature_matrices/model_based_features/kimi-version__EC__ffn_200ec.gemini_embedding_features.by_candidate.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.gemini_embedding_features.by_candidate.json,kimi-version,EC,05_feature_matrices/model_based_features,Per-candidate model-based feature matrix.
data/organized_analysis_outputs/05_feature_matrices/model_based_features/kimi-version__EC__ffn_200ec.local_embedding_features.by_candidate.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.local_embedding_features.by_candidate.json,kimi-version,EC,05_feature_matrices/model_based_features,Per-candidate model-based feature matrix.
data/organized_analysis_outputs/05_feature_matrices/model_based_features/kimi-version__EC__ffn_200ec.target_lm_features.by_candidate.json,kimi-version/ec/results/model_based_metrics/analysis/pilot/json/ffn_200ec.target_lm_features.by_candidate.json,kimi-version,EC,05_feature_matrices/model_based_features,Per-candidate model-based feature matrix.
data/organized_analysis_outputs/05_feature_matrices/parser_syntax_features/kimi-version__EC__ffn_200ec.syntax_info_features.by_candidate.json,kimi-version/ec/results/parser_derived_syntactic_metrics/analysis/pilot/json/ffn_200ec.syntax_info_features.by_candidate.json,kimi-version,EC,05_feature_matrices/parser_syntax_features,Per-candidate parser-derived syntax feature matrix.
data/organized_analysis_outputs/05_feature_matrices/rule_based_proxy_features/kimi-version__EC__ffn_200ec.deep_features.by_candidate.json,kimi-version/ec/results/rule_based_proxy_features/analysis/pilot/json/ffn_200ec.deep_features.by_candidate.json,kimi-version,EC,05_feature_matrices/rule_based_proxy_features,Per-candidate rule-based proxy feature matrix.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.condorcet_summary.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.condorcet_summary.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.consensus_borda_summary.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.consensus_borda_summary.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.high_disagreement_summary.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.high_disagreement_summary.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.minority_model_summary.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.minority_model_summary.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.model_vs_consensus_agreement.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.model_vs_consensus_agreement.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.pairwise_agreement.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.pairwise_agreement.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.top1_average_features.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.top1_average_features.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.top1_entropy_layer_summary.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.top1_entropy_layer_summary.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
data/organized_analysis_outputs/02_judge_agreement_and_consensus/all_judges_5model/kimi-version__CE__ecpcfe_200ce.all_judges_5model.top1_entropy_layers.csv,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.top1_entropy_layers.csv,kimi-version,CE,02_judge_agreement_and_consensus/all_judges_5model,Legacy five_models renamed to all_judges_5model.
