id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
042,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
043,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
044,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
045,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
046,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
047,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
048,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
049,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
050,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
051,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
052,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
053,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
054,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
055,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",7,9,8
056,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6
057,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
058,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
059,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
060,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
061,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
062,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
063,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
064,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
065,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
066,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
067,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
068,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
069,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
070,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
071,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
072,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
073,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
074,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
075,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
076,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
077,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
078,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
079,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
080,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
081,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
082,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,10,8
083,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
084,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
085,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
086,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
087,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
088,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
089,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,10,8
090,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
091,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
092,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
093,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
094,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
095,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
096,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
097,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
098,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
099,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
100,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
101,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
102,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
103,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
104,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
105,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9
106,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
107,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
108,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
109,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
110,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
111,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
112,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
113,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
114,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
115,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
116,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
117,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
118,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",7,10,7
119,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
120,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
121,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
122,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
123,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
124,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
125,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
126,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
127,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
128,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,8,6
129,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
130,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
131,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
132,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
133,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
134,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
135,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
136,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11
137,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
138,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
139,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
140,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6
141,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6
142,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
143,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
144,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
145,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
146,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
147,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
148,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
149,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
150,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
151,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
152,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
153,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
154,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,5,8
155,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
156,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
157,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
158,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
159,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
160,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
161,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
162,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
163,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
164,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
165,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
166,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
167,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
168,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
169,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
170,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
171,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
172,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
173,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
174,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,8,6
175,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
176,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
177,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
178,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
179,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
180,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
181,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
182,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
183,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
184,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
185,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
186,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
187,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
188,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
189,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
190,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
191,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
192,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
193,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
194,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
195,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
196,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
197,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
198,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11
199,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
200,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
