id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
074,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
075,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
076,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
077,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,5,8
078,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
079,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
080,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
081,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
082,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
083,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
084,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
085,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
086,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8
087,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
088,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
089,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
090,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
091,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
092,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
093,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",7,7,10
094,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
095,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
096,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11
097,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
098,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
099,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
100,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
101,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
102,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
103,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
104,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
105,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
106,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11
107,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
108,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
109,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
110,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
111,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
112,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
113,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
114,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
115,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
116,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
117,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
118,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",9,8,7
119,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
120,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
121,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
122,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11
123,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
124,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
125,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
126,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
127,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
128,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
129,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
130,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
131,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
132,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,7,11
133,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
134,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
135,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
136,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
137,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
138,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
139,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
140,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
141,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
142,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,9
143,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6
144,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
145,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
146,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
147,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
148,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
149,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
150,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
151,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8
152,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
153,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
154,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9
155,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9
156,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
157,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
158,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
159,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
160,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
161,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
162,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
163,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8
164,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
165,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
166,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
167,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
168,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
169,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
170,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11
171,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
172,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
173,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
174,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6
175,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
176,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
177,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
178,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
179,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
180,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
181,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
182,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
183,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
184,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
185,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
186,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
187,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
188,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
189,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
190,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
191,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
192,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
193,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
194,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
195,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
196,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
197,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
198,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
199,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
200,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
