model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,n_pairwise_observations,n_clusters
openai__gpt-5.2,crosslingual_embedding_similarity,0.794995,0.122009,6.515855,0.0,0.555857,1.034134,True,0.73,600,200
openai__gpt-5.2,bidirectional_entailment,0.111001,0.105658,1.05057,0.293456,-0.096089,0.318091,False,0.73,600,200
openai__gpt-5.2,nli_boundary_risk,0.14051,0.09508,1.477807,0.139459,-0.045847,0.326867,False,0.73,600,200
openai__gpt-5.2,nli_omission_risk,-0.051228,0.085297,-0.600586,0.548115,-0.218411,0.115954,False,0.73,600,200
openai__gpt-5.2,nli_contradiction_risk,0.064393,0.13685,0.470537,0.637971,-0.203833,0.332619,False,0.73,600,200
openai__gpt-5.2,dependency_depth,0.059593,0.11319,0.526481,0.598554,-0.162261,0.281446,False,0.73,600,200
openai__gpt-5.2,mean_dependency_distance,-0.278293,0.163973,-1.697192,0.08966,-0.599679,0.043093,False,0.73,600,200
openai__gpt-5.2,normalized_dependency_distance,-0.079745,0.200055,-0.398614,0.690178,-0.471852,0.312363,False,0.73,600,200
openai__gpt-5.2,sentence_compression_ratio,-0.853918,0.174606,-4.890537,1e-06,-1.196147,-0.51169,True,0.73,600,200
openai__gpt-5.2,extra_number_ratio,-0.245509,0.11314,-2.169962,0.03001,-0.467263,-0.023755,True,0.73,600,200
openai__gpt-5.2,extra_entity_count,0.18988,0.104095,1.824098,0.068137,-0.014147,0.393906,False,0.73,600,200
openai__gpt-5.2,register_score,0.125508,0.095463,1.314724,0.188603,-0.0616,0.312616,False,0.73,600,200
openai__gpt-5.2,translationese_score,-0.11911,0.120958,-0.984722,0.324761,-0.356188,0.117968,False,0.73,600,200
openai__gpt-5.2,target_lm_naturalness_score,0.148367,0.142155,1.043693,0.296627,-0.130258,0.426991,False,0.73,600,200
