version,direction,model,id,top_candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
kimi-version,CE,anthropic__claude-sonnet-4.6,030,C,13.0,9.0,3.237624,32.0,0.032056,0.605645,0.419048,9.0,4.0,0.695312,105.0,4.0,26.25,4.313942741,2.000431852,-0.327903077,0.853297575,-2.05489845,-0.035338144,-0.631125105,2.104887524,2.437773962,-1.776869781,5.411826189,9.342405822,-0.229799088
kimi-version,CE,anthropic__claude-sonnet-4.6,031,C,14.0,8.0,4.026667,37.0,0.053689,0.454762,0.384615,15.0,1.0,0.552632,78.0,3.0,26.0,4.774224285,1.448162002,0.856982702,1.280390539,-1.625525165,-1.102392643,-0.92493826,4.074587943,0.180993771,-1.864124932,3.446012736,6.149075968,-0.249694516
kimi-version,CE,anthropic__claude-sonnet-4.6,032,B,11.0,8.0,4.116279,38.0,0.047864,0.528571,0.433333,5.0,11.0,0.648438,90.0,4.0,22.5,3.393379654,1.448162002,0.991550761,1.365809131,-1.741140169,-0.58041054,-0.509232707,0.791753912,7.703594406,-1.805535312,4.319707604,9.342405822,-0.528230505
kimi-version,CE,anthropic__claude-sonnet-4.6,033,C,7.0,6.0,3.983333,26.0,0.066389,0.64375,0.33871,3.0,6.0,0.633333,62.0,2.0,31.0,1.552253478,0.343622301,0.791909138,0.340786018,-1.373454684,0.234142922,-1.316640782,0.135187105,3.942294088,-1.81477269,2.281086246,2.955746113,0.14821404
kimi-version,CE,anthropic__claude-sonnet-4.6,034,B,13.0,5.0,2.805195,22.0,0.036431,0.545714,0.37037,0.0,3.0,0.60177,81.0,4.0,20.25,4.313942741,-0.208647549,-0.977270695,-0.000888353,-1.968063146,-0.459174117,-1.046489342,-0.849663104,1.685513898,-1.834074865,3.664436453,9.342405822,-0.707289355
kimi-version,CE,anthropic__claude-sonnet-4.6,035,B,9.0,5.0,3.492063,26.0,0.05543,0.506452,0.41791,0.0,4.0,0.679012,67.0,4.0,16.75,2.472816566,-0.208647549,0.054181489,0.340786018,-1.590969676,-0.736837563,-0.640835539,-0.849663104,2.437773962,-1.786837954,2.645125774,9.342405822,-0.985825343
kimi-version,CE,anthropic__claude-sonnet-4.6,036,A,15.0,9.0,2.666667,19.0,0.032922,0.553125,0.44186,8.0,1.0,0.557143,86.0,5.0,17.2,5.234505829,2.000431852,-1.185294665,-0.257144132,-2.037710022,-0.406763038,-0.436472716,1.776604121,0.180993771,-1.861366255,4.028475981,12.535735676,-0.950013573
kimi-version,CE,anthropic__claude-sonnet-4.6,037,B,8.0,4.0,2.885246,18.0,0.047299,0.402564,0.476923,3.0,0.0,0.643678,65.0,4.0,16.25,2.012535022,-0.7609174,-0.857060147,-0.342562725,-1.752354328,-1.471540331,-0.137283837,0.135187105,-0.571266292,-1.808446263,2.499509963,9.342405822,-1.025616199
kimi-version,CE,anthropic__claude-sonnet-4.6,038,B,11.0,6.0,3.721519,28.0,0.047108,0.48625,0.414634,10.0,3.0,0.563492,82.0,3.0,27.333333,3.393379654,0.343622301,0.398749721,0.511623203,-1.75614531,-0.879707436,-0.668789301,2.433170927,1.685513898,-1.85748356,3.737244359,6.149075968,-0.143585594
kimi-version,CE,anthropic__claude-sonnet-4.6,039,C,11.0,6.0,3.449438,29.0,0.038758,0.655263,0.473118,4.0,5.0,0.527397,93.0,4.0,23.25,3.393379654,0.343622301,-0.009827388,0.597041796,-1.921876689,0.315563615,-0.1697515,0.463470509,3.190034025,-1.879557254,4.538131321,9.342405822,-0.468544221
kimi-version,CE,anthropic__claude-sonnet-4.6,040,A,6.0,7.0,4.835821,27.0,0.072176,0.684483,0.405797,0.0,6.0,0.65,69.0,2.0,34.5,1.091971935,0.895892151,2.072068659,0.426204611,-1.258593906,0.522209377,-0.74419449,-0.849663104,3.942294088,-1.80458008,2.790741585,2.955746113,0.426750029
kimi-version,CE,anthropic__claude-sonnet-4.6,041,B,14.0,5.0,3.144928,18.0,0.045579,0.389535,0.479452,6.0,7.0,0.653465,73.0,4.0,18.25,4.774224285,-0.208647549,-0.4671023,-0.342562725,-1.786493008,-1.563682276,-0.115704146,1.120037315,4.694554152,-1.802461078,3.081973208,9.342405822,-0.866452777
kimi-version,CE,anthropic__claude-sonnet-4.6,042,B,13.0,5.0,3.78125,28.0,0.039388,0.522115,0.51,6.0,9.0,0.601307,100.0,4.0,25.0,4.313942741,-0.208647549,0.488446243,0.511623203,-1.909372405,-0.626067797,0.144958714,1.120037315,6.199074279,-1.83435801,5.04778666,9.342405822,-0.329276227
kimi-version,CE,anthropic__claude-sonnet-4.6,043,B,6.0,10.0,2.777778,30.0,0.05144,0.660345,0.596491,3.0,1.0,0.634146,57.0,3.0,19.0,1.091971935,2.552701702,-1.018442106,0.682460389,-1.670163473,0.351503854,0.882977291,0.135187105,0.180993771,-1.814275504,1.917046717,6.149075968,-0.806766493
kimi-version,CE,anthropic__claude-sonnet-4.6,044,B,12.0,6.0,3.307692,32.0,0.036348,0.465686,0.510638,7.0,1.0,0.546053,94.0,3.0,31.333333,3.853661197,0.343622301,-0.222683746,0.853297575,-1.969710536,-1.025137396,0.150402701,1.448320718,0.180993771,-1.868148283,4.610939226,6.149075968,0.17474125
kimi-version,CE,anthropic__claude-sonnet-4.6,045,C,8.0,5.0,3.74,38.0,0.0748,0.667857,0.461538,8.0,0.0,0.643836,52.0,2.0,26.0,2.012535022,-0.208647549,0.426502168,1.365809131,-1.206512572,0.404629212,-0.268562418,1.776604121,-0.571266292,-1.808349639,1.553007189,2.955746113,-0.249694516
kimi-version,CE,anthropic__claude-sonnet-4.6,046,A,8.0,7.0,3.0,21.0,0.050847,0.486364,0.5,3.0,3.0,0.593407,62.0,3.0,20.666667,2.012535022,0.895892151,-0.684736987,-0.086306946,-1.681933378,-0.87890122,0.059629769,0.135187105,1.685513898,-1.83918921,2.281086246,6.149075968,-0.674130282
kimi-version,CE,anthropic__claude-sonnet-4.6,047,C,7.0,9.0,4.390805,70.0,0.050469,0.651163,0.590909,0.0,4.0,0.636364,88.0,1.0,88.0,1.552253478,2.000431852,1.403799464,4.099204101,-1.689435948,0.286568146,0.835346674,-0.849663104,2.437773962,-1.812919099,4.174091793,-0.237583741,4.684371573
kimi-version,CE,anthropic__claude-sonnet-4.6,048,C,13.0,9.0,3.123894,28.0,0.027645,0.59661,0.452991,6.0,6.0,0.639752,117.0,4.0,29.25,4.313942741,2.000431852,-0.498688522,0.511623203,-2.142448284,-0.099234258,-0.341493067,1.120037315,3.942294088,-1.810847186,6.285521056,9.342405822,0.008946045
kimi-version,CE,anthropic__claude-sonnet-4.6,049,B,10.0,5.0,3.183333,19.0,0.053056,0.507407,0.412698,8.0,7.0,0.635294,63.0,3.0,21.0,2.93309811,-0.208647549,-0.40943049,-0.257144132,-1.638088993,-0.73008374,-0.685308985,1.776604121,4.694554152,-1.813573451,2.353894151,6.149075968,-0.647603071
kimi-version,CE,anthropic__claude-sonnet-4.6,050,C,9.0,6.0,3.123288,28.0,0.042785,0.540244,0.460526,0.0,0.0,0.48855,76.0,3.0,25.333333,2.472816566,0.343622301,-0.499598537,0.511623203,-1.841948514,-0.497858317,-0.277197707,-0.849663104,-0.571266292,-1.903313919,3.300396925,6.149075968,-0.302749016
kimi-version,CE,anthropic__claude-sonnet-4.6,051,B,9.0,7.0,3.033898,22.0,0.051422,0.812903,0.508197,10.0,0.0,0.55102,61.0,2.0,30.5,2.472816566,0.895892151,-0.633833224,-0.000888353,-1.670520738,1.430404062,0.129573906,2.433170927,-0.571266292,-1.865110742,2.20827834,2.955746113,0.108423184
kimi-version,CE,anthropic__claude-sonnet-4.6,052,C,11.0,7.0,3.223404,28.0,0.034292,0.576667,0.585859,8.0,3.0,0.52795,99.0,5.0,19.8,3.393379654,0.895892151,-0.349256889,0.511623203,-2.010518167,-0.240272465,0.792255557,1.776604121,1.685513898,-1.87921907,4.974978755,12.535735676,-0.743101125
kimi-version,CE,anthropic__claude-sonnet-4.6,053,B,9.0,6.0,3.8875,27.0,0.048594,0.52,0.506024,6.0,7.0,0.690909,83.0,3.0,27.666667,2.472816566,0.343622301,0.647999162,0.426204611,-1.726651079,-0.641025216,0.111031926,1.120037315,4.694554152,-1.779562411,3.810052264,6.149075968,-0.117058304
kimi-version,CE,anthropic__claude-sonnet-4.6,054,C,10.0,6.0,3.138889,23.0,0.043596,0.618421,0.526316,6.0,1.0,0.543307,76.0,4.0,19.0,2.93309811,0.343622301,-0.476170913,0.084530239,-1.825851729,0.055014568,0.284181421,1.120037315,0.180993771,-1.869827583,3.300396925,9.342405822,-0.806766493
kimi-version,CE,anthropic__claude-sonnet-4.6,055,C,8.0,8.0,3.02,25.0,0.0604,0.557407,0.557692,9.0,1.0,0.545455,52.0,2.0,26.0,2.012535022,1.448162002,-0.654703496,0.255367425,-1.492324771,-0.376480452,0.551909518,2.104887524,0.180993771,-1.868513986,1.553007189,2.955746113,-0.249694516
kimi-version,CE,anthropic__claude-sonnet-4.6,056,B,11.0,6.0,3.213333,29.0,0.042844,0.528571,0.448718,8.0,2.0,0.672897,78.0,3.0,26.0,3.393379654,0.343622301,-0.364380254,0.597041796,-1.840777477,-0.58041054,-0.377954125,1.776604121,0.933253835,-1.790577548,3.446012736,6.149075968,-0.249694516
kimi-version,CE,anthropic__claude-sonnet-4.6,057,C,14.0,5.0,3.580645,31.0,0.038502,0.555932,0.505155,2.0,3.0,0.664,97.0,4.0,24.25,4.774224285,-0.208647549,0.187202823,0.767878982,-1.926957795,-0.386911749,0.103616841,-0.193096298,1.685513898,-1.796018458,4.829362943,9.342405822,-0.38896251
kimi-version,CE,anthropic__claude-sonnet-4.6,058,A,9.0,7.0,3.346154,17.0,0.064349,0.501923,0.388889,12.0,5.0,0.5,54.0,2.0,27.0,2.472816566,0.895892151,-0.16492634,-0.427981317,-1.413944745,-0.768866949,-0.888468669,3.089737734,3.190034025,-1.896311736,1.698623,2.955746113,-0.170112805
kimi-version,CE,anthropic__claude-sonnet-4.6,059,C,5.0,5.0,2.8,15.0,0.046667,0.727586,0.492308,0.0,7.0,0.662921,65.0,5.0,13.0,0.631690391,-0.208647549,-0.985071894,-0.598818503,-1.764898308,0.827036628,-0.006005255,-0.849663104,4.694554152,-1.796678315,2.499509963,12.535735676,-1.28425676
kimi-version,CE,anthropic__claude-sonnet-4.6,060,B,10.0,8.0,3.44,36.0,0.0344,0.601042,0.576923,9.0,2.0,0.570513,104.0,4.0,26.0,2.93309811,1.448162002,-0.024000192,1.194971946,-2.008374575,-0.067890862,0.716005612,2.104887524,0.933253835,-1.853189907,5.339018283,9.342405822,-0.249694516
kimi-version,CE,anthropic__claude-sonnet-4.6,061,B,14.0,7.0,3.136364,30.0,0.03564,0.526471,0.354839,12.0,4.0,0.621212,93.0,5.0,18.6,4.774224285,0.895892151,-0.479962641,0.682460389,-1.983762969,-0.595261879,-1.179013727,3.089737734,2.437773962,-1.822185219,4.538131321,12.535735676,-0.838599178
kimi-version,CE,anthropic__claude-sonnet-4.6,062,A,7.0,5.0,3.714286,27.0,0.066327,0.607812,0.576271,5.0,3.0,0.520833,59.0,3.0,19.666667,1.552253478,-0.208647549,0.387888109,0.426204611,-1.374685264,-0.020012977,0.710442165,0.791753912,1.685513898,-1.883571432,2.062662529,6.149075968,-0.753711993
kimi-version,CE,anthropic__claude-sonnet-4.6,063,C,5.0,4.0,3.163265,17.0,0.064556,0.535185,0.557692,3.0,0.0,0.608108,52.0,3.0,17.333333,0.631690391,-0.7609174,-0.439566094,-0.427981317,-1.409836195,-0.533635898,0.551909518,0.135187105,-0.571266292,-1.830198896,1.553007189,6.149075968,-0.939402705
kimi-version,CE,anthropic__claude-sonnet-4.6,064,C,9.0,6.0,3.666667,27.0,0.043651,0.439583,0.534884,4.0,7.0,0.531915,86.0,2.0,43.0,2.472816566,0.343622301,0.31637987,0.426204611,-1.824760085,-1.209739529,0.357291261,0.463470509,4.694554152,-1.876794297,4.028475981,2.955746113,1.103194573
kimi-version,CE,anthropic__claude-sonnet-4.6,065,B,12.0,7.0,3.682692,31.0,0.035411,0.4625,0.416667,3.0,3.0,0.584337,108.0,4.0,27.0,3.853661197,0.895892151,0.340444204,0.767878982,-1.988308177,-1.047668998,-0.651441926,0.135187105,1.685513898,-1.844735918,5.630249906,9.342405822,-0.170112805
kimi-version,CE,anthropic__claude-sonnet-4.6,066,B,10.0,7.0,3.588235,26.0,0.052768,0.346296,0.352113,6.0,0.0,0.585586,71.0,3.0,23.666667,2.93309811,0.895892151,0.198600533,0.340786018,-1.643805237,-1.869471328,-1.202274397,1.120037315,-0.571266292,-1.843972099,2.936357396,6.149075968,-0.435385148
kimi-version,CE,anthropic__claude-sonnet-4.6,067,A,11.0,7.0,3.466667,40.0,0.038519,0.631731,0.5,10.0,10.0,0.724771,94.0,4.0,23.5,3.393379654,0.895892151,0.016044963,1.536646317,-1.926620378,0.149143764,0.059629769,2.433170927,6.951334342,-1.758854295,4.610939226,9.342405822,-0.448648793
kimi-version,CE,anthropic__claude-sonnet-4.6,068,C,8.0,6.0,2.8,18.0,0.050909,0.502941,0.482759,6.0,4.0,0.569892,58.0,3.0,19.333333,2.012535022,0.343622301,-0.985071894,-0.342562725,-1.680702798,-0.761667586,-0.087485864,1.120037315,2.437773962,-1.853569676,1.989854623,6.149075968,-0.780239283
kimi-version,CE,anthropic__claude-sonnet-4.6,069,C,7.0,8.0,3.156627,31.0,0.038032,0.708511,0.627907,3.0,4.0,0.517241,86.0,3.0,28.666667,1.552253478,1.448162002,-0.44953421,0.767878982,-1.936286387,0.692136973,1.151046704,0.135187105,2.437773962,-1.885768099,4.028475981,6.149075968,-0.037476593
kimi-version,CE,anthropic__claude-sonnet-4.6,070,C,14.0,10.0,3.485149,46.0,0.034506,0.509615,0.451923,18.0,3.0,0.566879,104.0,3.0,34.666667,4.774224285,2.552701702,0.043798912,2.049157874,-2.00627068,-0.714468619,-0.350606199,5.059438153,1.685513898,-1.855412259,5.339018283,6.149075968,0.440013674
kimi-version,CE,anthropic__claude-sonnet-4.6,071,C,5.0,5.0,4.351351,43.0,0.058802,0.598529,0.5,6.0,5.0,0.683673,76.0,2.0,38.0,0.631690391,-0.208647549,1.344552397,1.792902095,-1.524041986,-0.085662964,0.059629769,1.120037315,3.190034025,-1.783987546,3.300396925,2.955746113,0.705286018
kimi-version,CE,anthropic__claude-sonnet-4.6,072,B,14.0,8.0,3.37931,31.0,0.038843,0.609302,0.406593,7.0,4.0,0.626016,91.0,4.0,22.75,4.774224285,1.448162002,-0.115136819,0.767878982,-1.920189603,-0.009475599,-0.737402306,1.448320718,2.437773962,-1.81924736,4.392515509,9.342405822,-0.508335077
kimi-version,CE,anthropic__claude-sonnet-4.6,073,B,12.0,6.0,3.128571,14.0,0.044694,0.538571,0.418919,6.0,1.0,0.592593,74.0,4.0,18.5,3.853661197,0.343622301,-0.491665191,-0.684237096,-1.804058549,-0.509689883,-0.632225848,1.120037315,0.180993771,-1.839687007,3.154781113,9.342405822,-0.846557349
kimi-version,CE,anthropic__claude-sonnet-4.6,074,C,5.0,5.0,2.741379,12.0,0.047265,0.707143,0.5,3.0,0.0,0.684211,62.0,4.0,15.5,0.631690391,-0.208647549,-1.073101557,-0.855074281,-1.753029163,0.682462387,0.059629769,0.135187105,-0.571266292,-1.783658535,2.281086246,9.342405822,-1.085302482
kimi-version,CE,anthropic__claude-sonnet-4.6,075,B,10.0,10.0,4.103448,49.0,0.070749,0.554286,0.355932,13.0,7.0,0.484536,59.0,1.0,59.0,2.93309811,2.552701702,0.972282775,2.305413652,-1.286917101,-0.398552369,-1.169687273,3.418021137,4.694554152,-1.905768658,2.062662529,-0.237583741,2.376501951
kimi-version,CE,anthropic__claude-sonnet-4.6,076,B,11.0,6.0,3.318182,30.0,0.037707,0.447222,0.472527,6.0,1.0,0.536232,91.0,3.0,30.333333,3.393379654,0.343622301,-0.20693118,0.682460389,-1.94273701,-1.155716018,-0.174794441,1.120037315,0.180993771,-1.87415426,4.392515509,6.149075968,0.095159539
kimi-version,CE,anthropic__claude-sonnet-4.6,077,B,5.0,4.0,2.982759,18.0,0.051427,0.478571,0.590164,0.0,1.0,0.566667,61.0,3.0,20.333333,0.631690391,-0.7609174,-0.710627358,-0.342562725,-1.670421498,-0.934013829,0.828989668,-0.849663104,0.180993771,-1.855541907,2.20827834,6.149075968,-0.700657572
kimi-version,CE,anthropic__claude-sonnet-4.6,078,A,6.0,5.0,3.705882,20.0,0.054498,0.603659,0.661972,0.0,3.0,0.557522,71.0,3.0,23.666667,1.091971935,-0.208647549,0.375268037,-0.171725539,-1.609468077,-0.049383266,1.441719755,-0.849663104,1.685513898,-1.86113448,2.936357396,6.149075968,-0.435385148
kimi-version,CE,anthropic__claude-sonnet-4.6,079,B,9.0,6.0,4.179775,33.0,0.046964,0.571951,0.423913,14.0,0.0,0.606299,92.0,3.0,30.666667,2.472816566,0.343622301,1.086901087,0.938716167,-1.759003432,-0.273624328,-0.589612573,3.74630454,-0.571266292,-1.83130518,4.465323415,6.149075968,0.121686829
