id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
028,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
029,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
030,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
031,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
032,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""B"": 1}"
033,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,6,10,1,9,5,"{""B"": 4, ""C"": 1}"
034,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,7,11,3,8,4,"{""B"": 4, ""C"": 1}"
035,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
036,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
037,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,6,9,0,9,6,"{""B"": 4, ""C"": 1}"
038,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
039,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
040,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
041,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,7,10,2,8,5,"{""B"": 3, ""C"": 2}"
042,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 2, ""C"": 3}"
043,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
044,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
045,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
046,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
047,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""B"": 1, ""C"": 4}"
048,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,12,8,5,3,7,"{""A"": 2, ""C"": 3}"
049,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
050,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""A"": 1, ""C"": 4}"
051,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,11,12,8,4,3,"{""A"": 3, ""B"": 2}"
052,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,11,7,3,4,8,"{""A"": 1, ""B"": 1, ""C"": 3}"
053,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
054,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
055,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
056,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""A"": 1, ""B"": 4}"
057,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
058,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
059,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
060,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""B"": 4, ""C"": 1}"
061,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
062,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
063,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
064,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
065,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,7,8,0,8,7,"{""B"": 3, ""C"": 2}"
066,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,9,9,3,6,6,"{""B"": 2, ""C"": 3}"
067,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
068,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""A"": 1, ""C"": 4}"
069,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
070,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,9,8,2,6,7,"{""B"": 2, ""C"": 3}"
071,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,14,8,7,1,7,"{""A"": 3, ""C"": 2}"
072,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""B"": 1, ""C"": 4}"
073,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
074,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
075,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
076,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
077,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
078,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""B"": 1}"
079,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""B"": 4, ""C"": 1}"
080,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
081,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,6,14,5,9,1,"{""A"": 1, ""B"": 4}"
082,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,14,9,8,1,6,"{""A"": 3, ""C"": 2}"
083,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
084,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
085,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
086,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
087,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
088,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
089,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
090,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,14,9,8,1,6,"{""A"": 3, ""C"": 2}"
091,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
092,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,7,11,3,8,4,"{""A"": 1, ""B"": 4}"
093,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
094,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,8,8,1,7,7,"{""B"": 3, ""C"": 2}"
095,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
096,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,8,11,4,7,4,"{""A"": 1, ""B"": 2, ""C"": 2}"
097,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
098,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""A"": 1, ""C"": 4}"
099,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
100,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
101,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
102,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,6,10,1,9,5,"{""B"": 4, ""C"": 1}"
103,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
104,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
105,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
106,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
107,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
108,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,10,14,9,5,1,"{""A"": 4, ""B"": 1}"
109,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
110,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
111,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,14,7,7,1,"{""A"": 2, ""B"": 3}"
112,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
113,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
114,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
115,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,10,14,9,5,1,"{""A"": 4, ""B"": 1}"
116,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,7,11,3,8,4,"{""B"": 4, ""C"": 1}"
117,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
118,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""B"": 4, ""C"": 1}"
119,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,11,13,9,4,2,"{""A"": 4, ""B"": 1}"
120,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",9,12,9,6,3,6,"{""A"": 2, ""C"": 3}"
121,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 2, ""C"": 3}"
122,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
123,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
124,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
125,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
126,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,8,9,2,7,6,"{""B"": 3, ""C"": 2}"
127,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
128,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 2, ""C"": 3}"
129,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
130,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""A"": 1, ""B"": 3, ""C"": 1}"
131,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,7,14,6,8,1,"{""A"": 2, ""B"": 3}"
132,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
133,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
134,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
135,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
136,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,13,7,5,2,8,"{""A"": 1, ""C"": 4}"
137,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""A"": 1, ""C"": 4}"
138,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,7,10,2,8,5,"{""B"": 4, ""C"": 1}"
139,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
140,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
141,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
142,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
143,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
144,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
145,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""A"": 1, ""B"": 1, ""C"": 3}"
146,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
147,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
148,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
149,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
150,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,12,6,3,3,9,"{""B"": 1, ""C"": 4}"
151,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
152,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
153,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
154,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,7,10,2,8,5,"{""B"": 4, ""C"": 1}"
155,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,14,11,10,1,4,"{""A"": 5}"
156,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
157,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
158,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,6,9,0,9,6,"{""B"": 4, ""C"": 1}"
159,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""B"": 4, ""C"": 1}"
160,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
161,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,14,9,8,1,6,"{""A"": 3, ""C"": 2}"
162,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
163,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
164,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,9,8,2,6,7,"{""B"": 2, ""C"": 3}"
165,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
166,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
167,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
168,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
169,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
170,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
171,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,14,8,7,1,7,"{""A"": 2, ""C"": 3}"
172,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
173,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
174,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,10,12,7,5,3,"{""A"": 2, ""B"": 2, ""C"": 1}"
175,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
176,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,8,11,4,7,4,"{""A"": 1, ""B"": 2, ""C"": 2}"
177,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
178,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",9,9,12,6,6,3,"{""A"": 3, ""B"": 1, ""C"": 1}"
179,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,12,11,8,3,4,"{""A"": 4, ""B"": 1}"
180,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,14,6,5,1,9,"{""A"": 1, ""C"": 4}"
181,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
182,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
183,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
184,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""B"": 1, ""C"": 4}"
185,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
186,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
187,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
188,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
189,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,13,9,7,2,6,"{""A"": 3, ""B"": 1, ""C"": 1}"
190,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""A"": 1, ""B"": 4}"
191,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""B"": 1, ""C"": 4}"
192,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
193,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
194,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,6,9,0,9,6,"{""B"": 4, ""C"": 1}"
195,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,11,6,2,4,9,"{""B"": 1, ""C"": 4}"
196,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
197,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
198,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
199,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
200,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
