id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
024,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
025,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
026,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,9
027,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
028,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
029,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
030,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
031,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
032,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
033,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,5,8
034,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
035,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
036,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
037,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7
038,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
039,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
040,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
041,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
042,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
043,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
044,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
045,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8
046,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
047,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
048,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
049,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
050,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
051,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
052,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
053,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
054,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
055,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
056,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
057,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
058,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
059,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
060,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
061,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
062,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
063,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
064,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
065,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7
066,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,8,6
067,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
068,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
069,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
070,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
071,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6
072,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6
073,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
074,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
075,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
076,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
077,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
078,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
079,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
080,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
081,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
082,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
083,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
084,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
085,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
086,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
087,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
088,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
089,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
090,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
091,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
092,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9
093,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
094,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
095,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
096,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",9,7,8
097,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
098,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
099,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
100,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
101,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
102,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,5,8
103,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
104,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
105,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
106,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
107,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
108,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11
109,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
110,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
111,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
112,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
113,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
114,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
115,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11
116,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
117,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
118,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
119,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10
120,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
121,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
122,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
123,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
124,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
125,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
126,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,5,8
127,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
128,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
129,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
130,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
131,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11
132,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
133,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
134,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
135,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
136,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
137,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
138,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
139,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
140,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
141,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
142,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
143,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
144,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
145,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,9,5
146,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
147,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
148,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
149,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
150,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,9,5
151,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
152,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
153,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
154,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
155,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
156,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
157,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
158,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7
159,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
160,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
161,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
162,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
163,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
164,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
165,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
166,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
167,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
168,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
169,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
170,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
171,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
172,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
173,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
174,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,9
175,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
176,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8
177,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
178,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,9
179,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,9
180,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
181,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
182,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
183,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
184,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6
185,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
186,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
187,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
188,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
189,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",7,10,7
190,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
191,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
192,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
193,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
194,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7
195,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
196,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
197,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
198,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
199,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
200,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
