version,direction,dataset,judge_model,sample_id,human_candidate,top1_candidate,human_rank,human_is_top1,human_is_top2_or_better
kimi-version,EC,ffn_200ec,openai__gpt-5.2,030,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,031,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,032,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,033,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,034,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,035,A,A,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,036,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,037,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,038,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,039,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,040,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,041,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,042,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,043,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,044,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,045,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,046,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,047,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,048,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,049,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,050,B,B,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,051,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,052,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,053,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,054,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,055,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,056,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,057,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,058,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,059,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,060,B,B,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,061,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,062,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,063,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,064,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,065,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,066,C,C,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,067,B,B,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,068,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,069,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,070,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,071,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,072,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,073,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,074,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,075,C,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,076,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,077,B,B,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,078,B,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,079,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,080,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,081,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,082,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,083,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,084,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,085,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,086,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,087,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,088,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,089,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,090,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,091,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,092,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,093,B,B,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,094,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,095,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,096,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,097,A,A,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,098,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,099,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,100,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,101,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,102,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,103,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,104,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,105,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,106,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,107,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,108,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,109,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,110,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,111,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,112,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,113,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,114,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,115,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,116,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,117,B,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,118,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,119,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,120,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,121,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,122,B,B,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,123,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,124,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,125,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,126,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,127,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,128,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,129,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,130,B,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,131,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,132,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,133,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,134,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,135,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,136,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,137,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,138,B,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,139,A,A,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,140,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,141,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,142,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,143,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,144,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,145,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,146,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,147,A,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,148,A,A,1,True,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,149,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,150,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,151,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,152,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,153,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,154,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,155,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,156,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,157,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,158,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,159,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,160,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,161,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,162,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,163,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,164,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,165,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,166,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,167,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,168,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,169,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,170,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,171,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,172,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,173,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,174,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,175,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,176,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,177,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,178,A,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,179,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,180,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,181,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,182,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,183,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,184,A,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,185,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,186,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,187,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,188,B,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,189,B,C,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,190,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,191,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,192,B,A,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,193,A,B,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,194,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,195,B,C,2,False,True
kimi-version,EC,ffn_200ec,openai__gpt-5.2,196,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,197,C,A,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,198,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,199,C,B,3,False,False
kimi-version,EC,ffn_200ec,openai__gpt-5.2,200,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,001,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,002,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,003,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,004,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,005,C,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,006,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,007,C,C,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,008,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,009,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,010,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,011,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,012,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,013,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,014,A,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,015,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,016,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,017,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,018,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,019,C,B,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,020,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,021,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,022,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,023,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,024,C,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,025,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,026,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,027,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,028,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,029,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,030,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,031,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,032,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,033,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,034,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,035,A,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,036,C,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,037,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,038,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,039,C,B,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,040,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,041,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,042,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,043,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,044,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,045,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,046,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,047,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,048,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,049,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,050,B,B,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,051,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,052,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,053,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,054,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,055,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,056,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,057,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,058,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,059,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,060,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,061,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,062,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,063,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,064,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,065,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,066,C,C,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,067,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,068,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,069,C,B,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,070,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,071,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,072,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,073,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,074,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,075,C,C,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,076,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,077,B,B,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,078,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,079,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,080,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,081,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,082,B,B,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,083,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,084,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,085,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,086,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,087,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,088,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,089,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,090,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,091,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,092,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,093,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,094,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,095,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,096,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,097,A,B,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,098,C,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,099,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,100,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,101,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,102,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,103,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,104,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,105,B,A,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,106,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,107,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,108,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,109,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,110,A,B,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,111,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,112,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,113,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,114,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,115,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,116,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,117,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,118,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,119,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,120,C,C,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,121,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,122,B,B,1,True,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,123,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,124,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,125,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,126,B,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,127,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,128,B,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,129,A,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,130,B,C,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,131,A,C,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,132,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,133,C,B,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,134,C,B,2,False,True
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,135,C,A,3,False,False
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,136,B,A,3,False,False
