id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
115,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11,7,4,1,"{""A"": 3, ""B"": 1}"
116,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9,3,6,3,"{""B"": 3, ""C"": 1}"
117,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
118,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9,2,7,3,"{""B"": 3, ""C"": 1}"
119,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11,7,4,1,"{""A"": 3, ""B"": 1}"
120,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,10,8,6,2,4,"{""A"": 2, ""C"": 2}"
121,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6,1,5,6,"{""B"": 2, ""C"": 2}"
122,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
123,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
124,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
125,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
126,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7,2,5,5,"{""B"": 2, ""C"": 2}"
127,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
128,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6,0,6,6,"{""B"": 2, ""C"": 2}"
129,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
130,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""B"": 3, ""C"": 1}"
131,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11,5,6,1,"{""A"": 2, ""B"": 2}"
132,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
133,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
134,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
135,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
136,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6,5,1,6,"{""A"": 1, ""C"": 3}"
137,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5,4,1,7,"{""A"": 1, ""C"": 3}"
138,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 3, ""C"": 1}"
139,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
140,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
141,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
142,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
143,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
144,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
145,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6,3,3,6,"{""A"": 1, ""B"": 1, ""C"": 2}"
146,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
147,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9,8,1,3,"{""A"": 4}"
148,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
149,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12,7,5,0,"{""A"": 3, ""B"": 1}"
150,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
151,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
152,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
153,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
154,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 3, ""C"": 1}"
155,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9,8,1,3,"{""A"": 4}"
156,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6,0,6,6,"{""B"": 2, ""C"": 2}"
157,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12,6,6,0,"{""A"": 2, ""B"": 2}"
158,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
159,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9,2,7,3,"{""B"": 3, ""C"": 1}"
160,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
161,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7,6,1,5,"{""A"": 2, ""C"": 2}"
162,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5,5,0,7,"{""A"": 1, ""C"": 3}"
163,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
164,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5,1,4,7,"{""B"": 1, ""C"": 3}"
165,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
166,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
167,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
168,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
169,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
170,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
171,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6,5,1,6,"{""A"": 1, ""C"": 3}"
172,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
173,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
174,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,7,10,5,5,2,"{""A"": 1, ""B"": 2, ""C"": 1}"
175,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12,6,6,0,"{""A"": 2, ""B"": 2}"
176,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10,4,6,2,"{""A"": 1, ""B"": 2, ""C"": 1}"
177,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
178,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,9,4,5,3,"{""A"": 2, ""B"": 1, ""C"": 1}"
179,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,9,6,3,3,"{""A"": 3, ""B"": 1}"
180,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
181,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
182,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
183,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
184,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6,3,3,6,"{""B"": 1, ""C"": 3}"
185,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
186,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
187,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
188,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
189,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,10,8,6,2,4,"{""A"": 3, ""B"": 1}"
190,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""A"": 1, ""B"": 3}"
191,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
192,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
193,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
194,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7,0,7,5,"{""B"": 3, ""C"": 1}"
195,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
196,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
197,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
198,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
199,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5,5,0,7,"{""A"": 1, ""C"": 3}"
200,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
