id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
026,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,13,10,8,2,5,"{""A"": 3, ""C"": 2}"
027,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
028,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
029,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
030,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
031,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
032,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
033,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,6,14,5,9,1,"{""A"": 1, ""B"": 4}"
034,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
035,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,14,7,6,1,8,"{""A"": 1, ""C"": 4}"
036,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,9,14,8,6,1,"{""A"": 3, ""B"": 2}"
037,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
038,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
039,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
040,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
041,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
042,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
043,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
044,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,14,7,7,1,"{""A"": 2, ""B"": 3}"
045,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
046,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,14,7,7,1,"{""A"": 3, ""B"": 2}"
047,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
048,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,7,8,0,8,7,"{""B"": 3, ""C"": 2}"
049,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
050,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
051,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
052,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
053,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
054,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
055,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
056,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
057,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
058,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
059,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
060,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
061,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
062,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
063,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
064,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,12,8,5,3,7,"{""A"": 2, ""C"": 3}"
065,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
066,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,14,7,6,1,8,"{""A"": 2, ""C"": 3}"
067,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,8,9,2,7,6,"{""B"": 3, ""C"": 2}"
068,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
069,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
070,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
071,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
072,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
073,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,10,6,1,5,9,"{""B"": 1, ""C"": 4}"
074,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
075,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
076,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
077,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,6,11,2,9,4,"{""B"": 4, ""C"": 1}"
078,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
079,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
080,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
081,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
082,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
083,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
084,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
085,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
086,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
087,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,14,11,10,1,4,"{""A"": 5}"
088,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
089,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
090,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
091,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
092,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
093,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,9,13,7,6,2,"{""A"": 3, ""B"": 2}"
094,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
095,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
096,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,6,14,5,9,1,"{""A"": 1, ""B"": 4}"
097,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
098,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
099,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
100,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
101,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
102,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
103,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
104,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
105,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
106,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""A"": 1, ""B"": 4}"
107,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
108,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
109,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
110,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
111,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
112,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
113,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
114,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
115,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
116,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
117,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 1, ""C"": 4}"
118,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,9,10,4,6,5,"{""B"": 3, ""C"": 2}"
119,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
120,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""B"": 4, ""C"": 1}"
121,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
122,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,14,7,7,1,"{""A"": 2, ""B"": 3}"
123,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
124,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
125,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
126,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
127,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
128,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
129,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
130,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
131,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
132,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,14,7,7,1,"{""A"": 2, ""B"": 3}"
133,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
134,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""A"": 1, ""B"": 4}"
135,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
136,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""C"": 1}"
137,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
138,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
139,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
140,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,13,7,5,2,8,"{""A"": 1, ""C"": 4}"
141,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
142,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,11,12,8,4,3,"{""A"": 4, ""B"": 1}"
143,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,14,8,7,1,7,"{""A"": 3, ""C"": 2}"
144,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,8,9,2,7,6,"{""B"": 2, ""C"": 3}"
145,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
146,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
147,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
148,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""A"": 1, ""B"": 4}"
149,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
150,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
151,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
152,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
153,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
154,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,7,12,4,8,3,"{""A"": 1, ""B"": 3, ""C"": 1}"
155,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,7,12,4,8,3,"{""B"": 4, ""C"": 1}"
156,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
157,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
158,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
159,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
160,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
161,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
162,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
163,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,13,11,9,2,4,"{""A"": 4, ""C"": 1}"
164,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
165,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
166,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""B"": 1, ""C"": 4}"
167,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
168,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""B"": 4, ""C"": 1}"
169,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,13,7,5,2,8,"{""B"": 1, ""C"": 4}"
170,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,10,14,9,5,1,"{""A"": 4, ""B"": 1}"
171,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
172,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
173,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
174,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""B"": 1, ""C"": 4}"
175,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
176,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
177,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
178,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,7,10,2,8,5,"{""B"": 4, ""C"": 1}"
179,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""A"": 1, ""B"": 4}"
180,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
181,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
182,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
183,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
184,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
185,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
186,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
187,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
188,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
189,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
190,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
191,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
192,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
193,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
194,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
195,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
196,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
197,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
198,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
199,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
200,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
