id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
040,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
041,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
042,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
043,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
044,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
045,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10,6,4,2,"{""A"": 2, ""B"": 1, ""C"": 1}"
046,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11,5,6,1,"{""A"": 2, ""B"": 2}"
047,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
048,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6,0,6,6,"{""B"": 2, ""C"": 2}"
049,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
050,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
051,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
052,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
053,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
054,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
055,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
056,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
057,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
058,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
059,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
060,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12,7,5,0,"{""A"": 3, ""B"": 1}"
061,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12,7,5,0,"{""A"": 3, ""B"": 1}"
062,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
063,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
064,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6,3,3,6,"{""A"": 1, ""C"": 3}"
065,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
066,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5,4,1,7,"{""A"": 1, ""C"": 3}"
067,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6,1,5,6,"{""B"": 2, ""C"": 2}"
068,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
069,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
070,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8,7,1,4,"{""A"": 3, ""C"": 1}"
071,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8,7,1,4,"{""A"": 3, ""C"": 1}"
072,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
073,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5,1,4,7,"{""B"": 1, ""C"": 3}"
074,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
075,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8,7,1,4,"{""A"": 3, ""C"": 1}"
076,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5,5,0,7,"{""A"": 1, ""C"": 3}"
077,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9,2,7,3,"{""B"": 3, ""C"": 1}"
078,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
079,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
080,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
081,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
082,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10,6,4,2,"{""A"": 2, ""B"": 1, ""C"": 1}"
083,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
084,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
085,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
086,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8,7,1,4,"{""A"": 3, ""C"": 1}"
087,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9,8,1,3,"{""A"": 4}"
088,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
089,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
090,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
091,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
092,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
093,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11,5,6,1,"{""A"": 2, ""B"": 2}"
094,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
095,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
096,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11,4,7,1,"{""A"": 1, ""B"": 3}"
097,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
098,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
099,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
100,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
101,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
102,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
103,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
104,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
105,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10,7,3,2,"{""A"": 3, ""C"": 1}"
106,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""A"": 1, ""B"": 3}"
107,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
108,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
109,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
110,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
111,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
112,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
113,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
114,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
115,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
116,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
117,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6,1,5,6,"{""B"": 1, ""C"": 3}"
118,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,8,4,4,4,"{""B"": 2, ""C"": 2}"
119,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6,0,6,6,"{""B"": 2, ""C"": 2}"
120,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10,4,6,2,"{""B"": 3, ""C"": 1}"
121,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
122,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
123,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
124,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
125,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
126,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9,8,1,3,"{""A"": 4}"
127,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
128,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
129,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
130,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
131,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
132,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
133,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
134,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""A"": 1, ""B"": 3}"
135,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
136,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9,7,2,3,"{""A"": 3, ""C"": 1}"
137,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
138,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
139,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
140,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6,4,2,6,"{""A"": 1, ""C"": 3}"
141,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
142,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
143,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6,5,1,6,"{""A"": 2, ""C"": 2}"
144,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 2, ""C"": 2}"
145,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
146,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
147,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
148,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""A"": 1, ""B"": 3}"
149,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
150,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
151,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
152,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9,8,1,3,"{""A"": 4}"
153,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
154,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9,2,7,3,"{""B"": 3, ""C"": 1}"
155,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9,3,6,3,"{""B"": 3, ""C"": 1}"
156,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
157,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
158,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
159,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
160,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
161,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
162,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
163,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9,7,2,3,"{""A"": 3, ""C"": 1}"
164,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
165,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
166,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5,3,2,7,"{""B"": 1, ""C"": 3}"
167,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
168,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""B"": 3, ""C"": 1}"
169,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
170,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11,7,4,1,"{""A"": 3, ""B"": 1}"
171,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
172,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
173,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12,7,5,0,"{""A"": 3, ""B"": 1}"
174,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
175,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
176,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
177,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12,7,5,0,"{""A"": 3, ""B"": 1}"
178,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 3, ""C"": 1}"
179,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
180,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
181,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
182,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
183,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
184,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
185,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
186,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5,5,0,7,"{""A"": 1, ""C"": 3}"
187,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
188,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
189,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
190,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
191,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
192,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
193,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
194,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
195,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
196,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
197,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
198,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
199,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
200,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9,8,1,3,"{""A"": 4}"
