id,language,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length
zh_native_00019,zh,3.0,4.0,2.6,11.0,0.13,0.656667,0.380952,3.0,1.0,7.5,21.0,1.0,21.0
zh_native_00020,zh,4.0,4.0,2.666667,16.0,0.111111,0.556667,0.32,3.0,0.0,8.5,25.0,1.0,25.0
zh_native_00021,zh,4.0,5.0,4.205128,20.0,0.107824,0.612903,0.35,0.0,0.0,12.5,40.0,1.0,40.0
zh_native_00022,zh,5.0,3.0,2.833333,10.0,0.118056,0.447368,0.36,0.0,1.0,9.0,25.0,1.0,25.0
zh_native_00023,zh,7.0,6.0,6.758621,27.0,0.233056,0.625,0.333333,4.0,1.0,11.5,30.0,1.0,30.0
zh_native_00024,zh,7.0,6.0,6.421053,36.0,0.168975,0.578333,0.282051,3.0,1.0,14.75,39.0,1.0,39.0
zh_native_00025,zh,9.0,4.0,5.25,24.0,0.1875,0.379545,0.206897,3.0,0.0,10.5,29.0,1.0,29.0
zh_native_00026,zh,6.0,4.0,4.833333,23.0,0.161111,0.456522,0.290323,0.0,1.0,10.0,31.0,1.0,31.0
zh_native_00027,zh,8.0,4.0,4.46875,29.0,0.139648,0.517857,0.30303,0.0,0.0,11.0,33.0,1.0,33.0
zh_native_00028,zh,4.0,5.0,5.2,23.0,0.208,0.463889,0.269231,0.0,0.0,8.0,26.0,1.0,26.0
zh_native_00029,zh,1.0,4.0,1.7,3.0,0.17,0.25,0.272727,0.0,0.0,3.25,11.0,1.0,11.0
zh_native_00030,zh,3.0,5.0,3.178571,18.0,0.11352,0.470455,0.482759,0.0,1.0,9.25,29.0,1.0,29.0
zh_native_00031,zh,6.0,4.0,4.333333,25.0,0.160494,0.428571,0.25,0.0,0.0,8.0,28.0,1.0,28.0
zh_native_00032,zh,5.0,5.0,3.212121,16.0,0.097337,0.394,0.352941,0.0,2.0,10.0,34.0,1.0,34.0
zh_native_00033,zh,4.0,6.0,4.5,22.0,0.204545,0.432353,0.391304,0.0,2.0,7.75,23.0,1.0,23.0
zh_native_00034,zh,4.0,6.0,3.818182,18.0,0.173554,0.555556,0.391304,0.0,1.0,7.25,23.0,1.0,23.0
zh_native_00035,zh,5.0,5.0,3.321429,22.0,0.118622,0.645455,0.482759,2.0,1.0,10.0,29.0,1.0,29.0
zh_native_00036,zh,6.0,5.0,5.291667,21.0,0.220486,0.368421,0.24,0.0,1.0,8.25,25.0,1.0,25.0
zh_native_00037,zh,7.0,5.0,2.708333,12.0,0.112847,0.428571,0.28,6.0,1.0,8.75,25.0,1.0,25.0
zh_native_00038,zh,3.0,3.0,2.8,8.0,0.28,0.944444,0.363636,2.0,0.0,4.25,11.0,1.0,11.0
zh_native_00039,zh,5.0,5.0,4.206897,28.0,0.145065,0.472917,0.333333,0.0,4.0,9.25,30.0,1.0,30.0
zh_native_00040,zh,4.0,4.0,4.0,16.0,0.210526,0.4375,0.2,0.0,1.0,5.75,20.0,1.0,20.0
zh_native_00041,zh,2.0,3.0,3.411765,14.0,0.200692,0.382143,0.277778,0.0,0.0,5.75,18.0,1.0,18.0
zh_native_00042,zh,4.0,4.0,3.904762,12.0,0.185941,0.408333,0.409091,0.0,0.0,7.25,22.0,1.0,22.0
zh_native_00043,zh,2.0,3.0,2.25,6.0,0.140625,0.633333,0.470588,0.0,1.0,5.25,17.0,1.0,17.0
zh_native_00044,zh,3.0,3.0,2.666667,6.0,0.222222,0.363636,0.230769,0.0,1.0,3.75,13.0,1.0,13.0
zh_native_00045,zh,3.0,4.0,3.32,21.0,0.1328,0.493182,0.423077,2.0,0.0,8.5,26.0,1.0,26.0
zh_native_00046,zh,1.0,2.0,1.888889,5.0,0.209877,0.5,0.3,0.0,0.0,2.75,10.0,1.0,10.0
zh_native_00047,zh,5.0,3.0,2.913043,12.0,0.126654,0.4,0.416667,0.0,1.0,7.5,24.0,1.0,24.0
zh_native_00048,zh,6.0,6.0,4.53125,26.0,0.141602,0.590385,0.30303,0.0,1.0,11.75,33.0,1.0,33.0
zh_native_00049,zh,5.0,7.0,4.166667,24.0,0.138889,0.55625,0.290323,0.0,1.0,10.75,31.0,1.0,31.0
zh_native_00050,zh,7.0,4.0,4.727273,31.0,0.143251,0.645,0.411765,0.0,3.0,13.75,34.0,1.0,34.0
zh_native_00051,zh,5.0,5.0,3.857143,22.0,0.137755,0.580435,0.551724,0.0,0.0,11.5,29.0,1.0,29.0
zh_native_00052,zh,2.0,5.0,2.73913,14.0,0.119093,0.536842,0.416667,0.0,1.0,8.75,24.0,1.0,24.0
zh_native_00053,zh,4.0,4.0,3.8,14.0,0.19,0.646875,0.47619,0.0,1.0,8.0,21.0,1.0,21.0
zh_native_00054,zh,5.0,4.0,3.678571,25.0,0.131378,0.63913,0.344828,0.0,1.0,9.75,29.0,1.0,29.0
zh_native_00055,zh,3.0,4.0,4.655172,20.0,0.160523,0.641667,0.6,1.0,0.0,11.0,30.0,1.0,30.0
zh_native_00056,zh,8.0,4.0,4.257143,32.0,0.121633,0.530357,0.277778,3.0,2.0,12.75,36.0,1.0,36.0
zh_native_00057,zh,4.0,4.0,3.529412,14.0,0.207612,0.466667,0.388889,0.0,1.0,6.25,18.0,1.0,18.0
zh_native_00058,zh,6.0,3.0,3.5,16.0,0.175,0.375,0.285714,0.0,2.0,7.75,21.0,1.0,21.0
zh_native_00059,zh,8.0,5.0,5.181818,32.0,0.157025,0.753704,0.382353,7.0,2.0,13.5,34.0,1.0,34.0
zh_native_00060,zh,3.0,4.0,3.4,17.0,0.17,0.835714,0.428571,6.0,0.0,8.0,21.0,1.0,21.0
zh_native_00061,zh,1.0,3.0,3.176471,14.0,0.186851,0.714286,0.444444,0.0,0.0,6.25,18.0,1.0,18.0
zh_native_00062,zh,5.0,6.0,4.0,17.0,0.133333,0.513462,0.419355,0.0,2.0,11.25,31.0,1.0,31.0
zh_native_00063,zh,3.0,6.0,5.16,23.0,0.2064,0.421053,0.423077,0.0,0.0,7.5,26.0,1.0,26.0
zh_native_00064,zh,3.0,3.0,3.25,11.0,0.203125,0.466667,0.470588,0.0,0.0,6.25,17.0,1.0,17.0
zh_native_00065,zh,3.0,4.0,4.769231,24.0,0.183432,0.522727,0.407407,0.0,0.0,7.0,27.0,1.0,27.0
zh_native_00066,zh,9.0,6.0,4.454545,33.0,0.10124,0.575,0.4,6.0,0.0,14.25,45.0,1.0,45.0
zh_native_00067,zh,2.0,5.0,3.655172,20.0,0.12604,0.397917,0.233333,0.0,2.0,9.5,30.0,1.0,30.0
zh_native_00068,zh,2.0,4.0,3.15,10.0,0.1575,0.491176,0.428571,0.0,0.0,6.5,21.0,1.0,21.0
zh_native_00069,zh,2.0,6.0,4.0,14.0,0.25,0.395455,0.411765,0.0,0.0,4.75,17.0,1.0,17.0
zh_native_00070,zh,7.0,6.0,4.311111,33.0,0.095802,0.612791,0.413043,2.0,0.0,14.5,46.0,1.0,46.0
zh_native_00071,zh,2.0,3.0,2.384615,10.0,0.183432,0.444444,0.428571,0.0,0.0,4.5,14.0,1.0,14.0
zh_native_00072,zh,5.0,4.0,4.333333,25.0,0.131313,0.568966,0.441176,3.0,0.0,10.25,34.0,1.0,34.0
zh_native_00073,zh,2.0,4.0,2.764706,11.0,0.16263,0.49,0.388889,3.0,0.0,6.0,18.0,1.0,18.0
zh_native_00074,zh,4.0,3.0,5.142857,19.0,0.183673,0.653846,0.586207,3.0,0.0,11.5,29.0,1.0,29.0
zh_native_00075,zh,7.0,6.0,4.288889,40.0,0.095309,0.590244,0.413043,5.0,1.0,17.5,46.0,1.0,46.0
zh_native_00076,zh,1.0,4.0,3.25,14.0,0.203125,0.6125,0.411765,0.0,0.0,5.75,17.0,1.0,17.0
zh_native_00077,zh,4.0,4.0,5.0,34.0,0.131579,0.59,0.564103,0.0,2.0,14.25,39.0,1.0,39.0
zh_native_00078,zh,1.0,4.0,3.071429,19.0,0.109694,0.508696,0.413793,0.0,2.0,9.25,29.0,1.0,29.0
zh_native_00079,zh,3.0,5.0,4.952381,21.0,0.235828,0.702632,0.409091,0.0,2.0,8.0,22.0,1.0,22.0
zh_native_00080,zh,2.0,4.0,2.5,7.0,0.138889,0.667647,0.421053,0.0,2.0,6.75,19.0,1.0,19.0
zh_native_00081,zh,9.0,5.0,4.527778,28.0,0.125772,0.7875,0.459459,10.0,2.0,12.5,37.0,1.0,37.0
zh_native_00082,zh,7.0,6.0,3.297297,23.0,0.089116,0.445,0.342105,5.0,3.0,10.75,38.0,1.0,38.0
zh_native_00083,zh,4.0,6.0,4.821429,22.0,0.172194,0.414286,0.310345,0.0,0.0,9.75,29.0,1.0,29.0
zh_native_00084,zh,9.0,5.0,4.675,37.0,0.116875,0.571212,0.463415,5.0,0.0,14.75,41.0,1.0,41.0
zh_native_00085,zh,6.0,7.0,4.05,21.0,0.10125,0.516129,0.292683,0.0,0.0,11.75,41.0,1.0,41.0
zh_native_00086,zh,7.0,6.0,5.65,30.0,0.14125,0.707576,0.414634,6.0,0.0,16.25,41.0,1.0,41.0
zh_native_00087,zh,4.0,5.0,6.157895,38.0,0.16205,0.571154,0.358974,3.0,1.0,13.0,39.0,1.0,39.0
zh_native_00088,zh,3.0,4.0,3.5,11.0,0.25,0.416667,0.2,0.0,0.0,4.25,15.0,1.0,15.0
zh_native_00089,zh,2.0,4.0,2.785714,9.0,0.19898,0.5,0.133333,0.0,1.0,4.25,15.0,1.0,15.0
zh_native_00090,zh,2.0,4.0,2.066667,7.0,0.137778,0.525,0.3125,0.0,2.0,5.5,16.0,1.0,16.0
zh_native_00091,zh,2.0,5.0,2.588235,8.0,0.152249,0.5,0.222222,0.0,0.0,4.5,18.0,1.0,18.0
zh_native_00092,zh,6.0,5.0,4.692308,39.0,0.120316,0.370312,0.3,0.0,0.0,12.75,40.0,1.0,40.0
zh_native_00093,zh,8.0,5.0,3.842105,19.0,0.101108,0.736207,0.435897,11.0,0.0,14.25,39.0,1.0,39.0
zh_native_00094,zh,3.0,5.0,4.571429,17.0,0.217687,0.523333,0.272727,0.0,0.0,7.25,22.0,1.0,22.0
zh_native_00095,zh,3.0,4.0,3.5,11.0,0.25,0.416667,0.2,0.0,0.0,4.75,15.0,1.0,15.0
zh_native_00096,zh,4.0,5.0,1.944444,6.0,0.108025,0.432353,0.315789,0.0,3.0,6.25,19.0,1.0,19.0
zh_native_00097,zh,4.0,5.0,3.266667,21.0,0.108889,0.440909,0.354839,0.0,0.0,7.5,31.0,1.0,31.0
zh_native_00098,zh,7.0,8.0,6.0,21.0,0.272727,0.544737,0.173913,5.0,0.0,8.0,23.0,1.0,23.0
zh_native_00099,zh,3.0,5.0,4.291667,23.0,0.178819,0.585,0.44,4.0,0.0,8.0,25.0,1.0,25.0
zh_native_00100,zh,5.0,7.0,5.264706,33.0,0.154844,0.512069,0.4,2.0,0.0,11.25,35.0,1.0,35.0
zh_native_00101,zh,6.0,4.0,3.666667,19.0,0.122222,0.43125,0.258065,6.0,1.0,7.25,31.0,1.0,31.0
zh_native_00102,zh,5.0,4.0,4.590909,19.0,0.208678,0.473684,0.26087,3.0,1.0,6.25,23.0,1.0,23.0
zh_native_00103,zh,2.0,5.0,3.428571,12.0,0.163265,0.5,0.5,0.0,0.0,7.0,22.0,1.0,22.0
zh_native_00104,zh,11.0,5.0,5.309524,39.0,0.126417,0.516129,0.186047,6.0,0.0,12.25,43.0,1.0,43.0
zh_native_00105,zh,10.0,5.0,4.688889,31.0,0.104198,0.368421,0.326087,0.0,1.0,13.25,46.0,1.0,46.0
zh_native_00106,zh,3.0,3.0,3.0,12.0,0.176471,0.4,0.166667,0.0,1.0,6.0,18.0,1.0,18.0
zh_native_00107,zh,3.0,4.0,3.368421,14.0,0.177285,0.34375,0.3,0.0,0.0,5.5,20.0,1.0,20.0
zh_native_00108,zh,2.0,5.0,3.230769,13.0,0.248521,0.445833,0.214286,0.0,0.0,4.5,14.0,1.0,14.0
zh_native_00109,zh,2.0,3.0,2.611111,9.0,0.145062,0.584375,0.421053,0.0,1.0,5.75,19.0,1.0,19.0
zh_native_00110,zh,7.0,4.0,4.9,29.0,0.163333,0.45,0.258065,2.0,0.0,10.75,31.0,1.0,31.0
zh_native_00111,zh,2.0,4.0,2.214286,8.0,0.158163,0.445833,0.266667,0.0,0.0,5.75,15.0,1.0,15.0
zh_native_00112,zh,4.0,4.0,4.28,21.0,0.1712,0.547619,0.269231,0.0,0.0,7.5,26.0,1.0,26.0
zh_native_00113,zh,4.0,3.0,2.538462,9.0,0.195266,0.416667,0.214286,1.0,0.0,5.25,14.0,1.0,14.0
zh_native_00114,zh,2.0,3.0,2.529412,10.0,0.148789,0.453571,0.444444,3.0,0.0,5.75,18.0,1.0,18.0
zh_native_00115,zh,9.0,4.0,3.857143,30.0,0.110204,0.359615,0.25,2.0,0.0,11.75,36.0,1.0,36.0
zh_native_00116,zh,2.0,4.0,2.809524,10.0,0.133787,0.373529,0.454545,0.0,0.0,7.0,22.0,1.0,22.0
zh_native_00117,zh,2.0,3.0,2.842105,9.0,0.149584,0.417857,0.4,0.0,0.0,5.5,20.0,1.0,20.0
zh_native_00118,zh,2.0,4.0,3.6,22.0,0.12,0.590385,0.516129,0.0,5.0,11.5,31.0,1.0,31.0
zh_native_00119,zh,10.0,5.0,5.52381,37.0,0.131519,0.703125,0.302326,8.0,0.0,12.75,43.0,1.0,43.0
zh_native_00120,zh,5.0,5.0,4.393939,30.0,0.13315,0.507143,0.411765,2.0,1.0,12.0,34.0,1.0,34.0
zh_native_00121,zh,4.0,4.0,3.714286,12.0,0.265306,0.5,0.2,0.0,0.0,5.5,15.0,1.0,15.0
zh_native_00122,zh,2.0,5.0,3.636364,15.0,0.165289,0.4925,0.608696,0.0,1.0,7.75,23.0,1.0,23.0
zh_native_00123,zh,4.0,4.0,3.276596,16.0,0.069715,0.63875,0.4375,5.0,1.0,17.25,48.0,1.0,48.0
zh_native_00124,zh,4.0,5.0,6.727273,22.0,0.305785,0.518421,0.217391,0.0,0.0,8.25,23.0,1.0,23.0
zh_native_00125,zh,4.0,5.0,3.185185,17.0,0.11797,0.440909,0.5,0.0,0.0,9.75,28.0,1.0,28.0
zh_native_00126,zh,1.0,4.0,2.428571,9.0,0.115646,0.607692,0.545455,0.0,1.0,7.25,22.0,1.0,22.0
zh_native_00127,zh,3.0,3.0,2.769231,9.0,0.213018,0.0625,0.142857,0.0,1.0,4.25,14.0,1.0,14.0
zh_native_00128,zh,9.0,6.0,4.153846,24.0,0.159763,0.515217,0.222222,9.0,0.0,11.0,27.0,1.0,27.0
zh_native_00129,zh,3.0,5.0,4.111111,20.0,0.152263,0.378947,0.392857,0.0,0.0,9.0,28.0,1.0,28.0
zh_native_00130,zh,4.0,4.0,4.684211,19.0,0.246537,0.584375,0.45,0.0,2.0,7.0,20.0,1.0,20.0
zh_native_00131,zh,5.0,5.0,3.555556,21.0,0.098765,0.372581,0.324324,0.0,1.0,13.5,37.0,1.0,37.0
zh_native_00132,zh,3.0,3.0,4.533333,15.0,0.302222,0.259091,0.25,0.0,0.0,5.25,16.0,1.0,16.0
zh_native_00133,zh,3.0,4.0,3.181818,18.0,0.096419,0.584615,0.352941,4.0,1.0,12.25,34.0,1.0,34.0
zh_native_00134,zh,5.0,6.0,3.391304,12.0,0.147448,0.352632,0.208333,0.0,0.0,9.0,24.0,1.0,24.0
zh_native_00135,zh,5.0,5.0,4.075,23.0,0.101875,0.460606,0.512195,1.0,1.0,14.25,41.0,1.0,41.0
zh_native_00136,zh,6.0,4.0,4.083333,19.0,0.113426,0.51129,0.405405,0.0,0.0,14.25,37.0,1.0,37.0
zh_native_00137,zh,7.0,7.0,6.0,30.0,0.142857,0.32,0.348837,4.0,0.0,15.5,43.0,1.0,43.0
zh_native_00138,zh,9.0,7.0,4.418605,36.0,0.102758,0.436765,0.295455,2.0,0.0,16.75,44.0,1.0,44.0
zh_native_00139,zh,4.0,7.0,3.947368,20.0,0.103878,0.435714,0.307692,0.0,1.0,12.75,39.0,1.0,39.0
zh_native_00140,zh,2.0,4.0,2.869565,13.0,0.124764,0.423077,0.208333,0.0,1.0,4.25,24.0,1.0,24.0
zh_native_00141,zh,1.0,2.0,2.333333,5.0,0.194444,0.454545,0.384615,0.0,1.0,3.0,13.0,1.0,13.0
zh_native_00142,zh,8.0,8.0,4.829268,41.0,0.117787,0.440278,0.309524,0.0,1.0,12.75,42.0,1.0,42.0
zh_native_00143,zh,1.0,3.0,2.333333,6.0,0.259259,0.375,0.4,0.0,0.0,3.0,10.0,1.0,10.0
zh_native_00144,zh,3.0,4.0,4.529412,15.0,0.266436,0.333333,0.444444,0.0,0.0,6.75,18.0,1.0,18.0
zh_native_00145,zh,5.0,4.0,4.217391,16.0,0.183365,0.4175,0.333333,0.0,0.0,7.5,24.0,1.0,24.0
zh_native_00146,zh,4.0,6.0,3.65,18.0,0.1825,0.491176,0.285714,3.0,0.0,8.0,21.0,1.0,21.0
zh_native_00147,zh,4.0,5.0,3.857143,15.0,0.183673,0.611111,0.363636,3.0,0.0,7.5,22.0,1.0,22.0
zh_native_00148,zh,3.0,3.0,2.222222,6.0,0.246914,0.333333,0.3,0.0,0.0,3.25,10.0,1.0,10.0
zh_native_00149,zh,5.0,5.0,3.678571,12.0,0.131378,0.30625,0.241379,3.0,0.0,8.25,29.0,1.0,29.0
zh_native_00150,zh,4.0,5.0,3.382353,14.0,0.099481,0.334483,0.428571,1.0,0.0,10.5,35.0,1.0,35.0
zh_native_00151,zh,2.0,2.0,2.0,4.0,0.25,0.428571,0.222222,0.0,0.0,2.5,9.0,1.0,9.0
zh_native_00152,zh,3.0,3.0,4.055556,15.0,0.225309,0.470588,0.473684,1.0,0.0,7.5,19.0,1.0,19.0
zh_native_00153,zh,2.0,2.0,2.125,6.0,0.265625,0.285714,0.111111,0.0,0.0,2.75,9.0,1.0,9.0
zh_native_00154,zh,5.0,5.0,6.363636,26.0,0.192837,0.433333,0.264706,0.0,0.0,11.25,34.0,1.0,34.0
zh_native_00155,zh,7.0,4.0,4.121951,25.0,0.100535,0.481429,0.380952,3.0,0.0,15.0,42.0,1.0,42.0
zh_native_00156,zh,2.0,4.0,2.764706,9.0,0.16263,0.382143,0.277778,0.0,0.0,3.75,18.0,1.0,18.0
zh_native_00157,zh,4.0,5.0,4.8125,19.0,0.150391,0.392308,0.393939,1.0,0.0,9.75,33.0,1.0,33.0
zh_native_00158,zh,4.0,4.0,5.272727,21.0,0.239669,0.368421,0.304348,0.0,0.0,9.0,23.0,1.0,23.0
zh_native_00159,zh,3.0,4.0,2.818182,10.0,0.256198,0.4,0.166667,1.0,0.0,4.0,12.0,1.0,12.0
zh_native_00160,zh,3.0,4.0,4.352941,13.0,0.256055,0.459375,0.222222,2.0,0.0,7.0,18.0,1.0,18.0
zh_native_00161,zh,9.0,5.0,3.170732,24.0,0.077335,0.385714,0.333333,3.0,0.0,15.75,42.0,1.0,42.0
zh_native_00162,zh,3.0,2.0,2.777778,6.0,0.308642,0.214286,0.2,0.0,0.0,3.25,10.0,1.0,10.0
zh_native_00163,zh,8.0,7.0,4.731707,33.0,0.115407,0.446154,0.255814,0.0,0.0,16.25,43.0,2.0,21.5
zh_native_00164,zh,8.0,7.0,5.285714,40.0,0.12585,0.481429,0.186047,0.0,0.0,14.5,43.0,1.0,43.0
zh_native_00165,zh,1.0,3.0,2.0,4.0,0.222222,0.5,0.5,0.0,0.0,3.75,10.0,1.0,10.0
zh_native_00166,zh,2.0,4.0,2.769231,6.0,0.213018,0.590909,0.285714,0.0,0.0,3.75,14.0,1.0,14.0
zh_native_00167,zh,2.0,4.0,2.769231,6.0,0.213018,0.590909,0.285714,0.0,0.0,4.0,14.0,1.0,14.0
zh_native_00168,zh,2.0,4.0,2.769231,6.0,0.213018,0.590909,0.285714,0.0,0.0,3.75,14.0,1.0,14.0
zh_native_00169,zh,4.0,5.0,3.190476,11.0,0.151927,0.428125,0.409091,0.0,0.0,8.0,22.0,1.0,22.0
zh_native_00170,zh,2.0,4.0,2.461538,6.0,0.189349,0.55,0.214286,0.0,0.0,3.25,14.0,1.0,14.0
zh_native_00171,zh,2.0,4.0,2.545455,6.0,0.231405,0.388889,0.166667,0.0,0.0,2.75,12.0,1.0,12.0
zh_native_00172,zh,2.0,4.0,2.545455,6.0,0.231405,0.5,0.166667,0.0,0.0,2.75,12.0,1.0,12.0
zh_native_00173,zh,2.0,4.0,1.888889,4.0,0.209877,0.478571,0.2,0.0,0.0,2.5,10.0,1.0,10.0
zh_native_00174,zh,4.0,4.0,4.0,18.0,0.142857,0.434783,0.37931,4.0,5.0,10.5,29.0,1.0,29.0
zh_native_00175,zh,2.0,3.0,2.615385,6.0,0.201183,0.3,0.214286,0.0,0.0,2.5,14.0,1.0,14.0
zh_native_00176,zh,4.0,4.0,3.666667,16.0,0.152778,0.518421,0.28,1.0,0.0,7.0,25.0,1.0,25.0
zh_native_00177,zh,6.0,4.0,5.457143,31.0,0.155918,0.327586,0.416667,5.0,1.0,12.25,36.0,1.0,36.0
zh_native_00178,zh,5.0,6.0,5.0,25.0,0.192308,0.470455,0.259259,0.0,0.0,8.5,27.0,1.0,27.0
zh_native_00179,zh,7.0,5.0,4.114286,21.0,0.117551,0.411667,0.305556,1.0,2.0,12.5,36.0,1.0,36.0
zh_native_00180,zh,5.0,5.0,6.125,22.0,0.255208,0.46,0.346154,0.0,1.0,9.25,26.0,2.0,13.0
zh_native_00181,zh,3.0,4.0,4.733333,14.0,0.315556,0.428571,0.4375,0.0,0.0,6.0,16.0,1.0,16.0
zh_native_00182,zh,6.0,5.0,4.214286,26.0,0.15051,0.438095,0.344828,0.0,1.0,9.25,29.0,1.0,29.0
zh_native_00183,zh,6.0,5.0,4.478261,22.0,0.194707,0.316667,0.208333,0.0,1.0,7.75,24.0,1.0,24.0
zh_native_00184,zh,5.0,5.0,3.846154,24.0,0.147929,0.484211,0.333333,0.0,2.0,8.75,27.0,1.0,27.0
zh_native_00185,zh,4.0,4.0,3.75,17.0,0.117188,0.386207,0.363636,1.0,0.0,9.75,33.0,1.0,33.0
zh_native_00186,zh,2.0,6.0,5.583333,39.0,0.116319,0.572368,0.489796,0.0,0.0,17.75,49.0,1.0,49.0
zh_native_00187,zh,5.0,4.0,5.628571,28.0,0.160816,0.532143,0.416667,4.0,0.0,13.75,36.0,1.0,36.0
zh_native_00188,zh,4.0,5.0,5.772727,22.0,0.262397,0.605263,0.434783,3.0,0.0,7.75,23.0,1.0,23.0
zh_native_00189,zh,3.0,3.0,2.888889,10.0,0.160494,0.588235,0.421053,0.0,0.0,7.0,19.0,1.0,19.0
zh_native_00190,zh,2.0,4.0,4.222222,15.0,0.234568,0.25,0.210526,0.0,0.0,4.5,19.0,1.0,19.0
zh_native_00191,zh,7.0,5.0,4.243243,36.0,0.114682,0.415152,0.394737,3.0,1.0,11.0,38.0,1.0,38.0
zh_native_00192,zh,3.0,4.0,2.714286,9.0,0.193878,0.428571,0.333333,0.0,0.0,6.75,15.0,1.0,15.0
zh_native_00193,zh,6.0,5.0,3.0,17.0,0.157895,0.4375,0.15,2.0,0.0,6.25,20.0,1.0,20.0
zh_native_00194,zh,2.0,4.0,3.15,11.0,0.1575,0.5,0.47619,0.0,0.0,7.25,21.0,1.0,21.0
zh_native_00195,zh,3.0,6.0,4.307692,23.0,0.110454,0.598276,0.425,3.0,3.0,13.75,40.0,1.0,40.0
zh_native_00196,zh,3.0,3.0,2.944444,11.0,0.16358,0.6,0.157895,0.0,0.0,5.5,19.0,1.0,19.0
zh_native_00197,zh,1.0,2.0,2.1,6.0,0.21,0.611111,0.181818,0.0,0.0,3.0,11.0,1.0,11.0
zh_native_00198,zh,3.0,3.0,3.206897,15.0,0.110583,0.642857,0.366667,0.0,2.0,9.75,30.0,1.0,30.0
zh_native_00199,zh,4.0,5.0,4.166667,26.0,0.115741,0.571212,0.432432,0.0,2.0,14.75,37.0,1.0,37.0
zh_native_00200,zh,4.0,4.0,3.482759,14.0,0.120095,0.536957,0.433333,3.0,1.0,11.0,30.0,1.0,30.0
zh_native_00201,zh,7.0,6.0,2.357143,12.0,0.168367,0.416667,0.2,7.0,0.0,5.5,15.0,1.0,15.0
zh_native_00202,zh,1.0,3.0,2.857143,9.0,0.204082,0.475,0.6,0.0,1.0,5.25,15.0,1.0,15.0
zh_native_00203,zh,2.0,4.0,3.071429,12.0,0.219388,0.475,0.466667,0.0,1.0,5.5,15.0,1.0,15.0
zh_native_00204,zh,4.0,5.0,4.090909,19.0,0.18595,0.55,0.391304,0.0,1.0,7.5,23.0,1.0,23.0
zh_native_00205,zh,3.0,5.0,2.285714,11.0,0.163265,0.4875,0.066667,0.0,3.0,4.5,15.0,1.0,15.0
zh_native_00206,zh,2.0,4.0,3.705882,15.0,0.217993,0.633333,0.444444,0.0,0.0,6.0,18.0,1.0,18.0
zh_native_00207,zh,5.0,6.0,4.71875,28.0,0.147461,0.6,0.333333,0.0,0.0,10.75,33.0,1.0,33.0
