id,language,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length
en_native_00112,en,3.0,5.0,4.318182,20.0,0.196281,0.478571,0.478261,5.0,0.0,2.714286,23.0,1.0,23.0
en_native_00113,en,5.0,7.0,4.166667,29.0,0.138889,0.636842,0.354839,6.0,3.0,3.285714,31.0,1.0,31.0
en_native_00114,en,1.0,5.0,4.181818,21.0,0.126722,0.8725,0.647059,0.0,0.0,3.714286,34.0,1.0,34.0
en_native_00115,en,2.0,5.0,4.103448,24.0,0.141498,0.5625,0.5,0.0,4.0,2.857143,30.0,1.0,30.0
en_native_00116,en,3.0,7.0,3.852941,32.0,0.113322,0.609091,0.628571,3.0,0.0,4.142857,35.0,1.0,35.0
en_native_00117,en,9.0,7.0,5.730769,45.0,0.110207,0.625,0.471698,7.0,0.0,5.571429,53.0,1.0,53.0
en_native_00118,en,1.0,6.0,3.666667,21.0,0.174603,0.615385,0.409091,0.0,1.0,2.428571,22.0,1.0,22.0
en_native_00119,en,5.0,4.0,3.0,16.0,0.166667,0.47,0.105263,3.0,0.0,2.285714,19.0,1.0,19.0
en_native_00120,en,3.0,6.0,3.571429,24.0,0.127551,0.714286,0.413793,0.0,0.0,2.857143,29.0,1.0,29.0
en_native_00121,en,2.0,11.0,3.52381,41.0,0.0839,0.557143,0.55814,0.0,0.0,4.857143,43.0,1.0,43.0
en_native_00122,en,2.0,5.0,4.545455,19.0,0.206612,0.488462,0.478261,0.0,0.0,2.0,23.0,1.0,23.0
en_native_00123,en,4.0,9.0,3.115385,25.0,0.119822,0.67,0.444444,4.0,0.0,3.571429,27.0,1.0,27.0
en_native_00124,en,1.0,2.0,2.111111,4.0,0.234568,0.7125,0.5,0.0,0.0,1.285714,10.0,1.0,10.0
en_native_00125,en,2.0,4.0,3.35,12.0,0.1675,0.8,0.333333,0.0,0.0,2.142857,21.0,1.0,21.0
en_native_00126,en,3.0,3.0,4.045455,18.0,0.183884,0.545455,0.521739,3.0,0.0,2.714286,23.0,1.0,23.0
en_native_00127,en,2.0,4.0,2.857143,11.0,0.204082,0.5,0.466667,0.0,0.0,1.714286,15.0,1.0,15.0
en_native_00128,en,5.0,6.0,4.179487,32.0,0.107166,0.6,0.375,7.0,1.0,5.142857,40.0,1.0,40.0
en_native_00129,en,3.0,4.0,3.25,13.0,0.203125,0.444444,0.588235,0.0,0.0,2.142857,17.0,1.0,17.0
en_native_00130,en,2.0,5.0,3.130435,15.0,0.136106,0.533333,0.416667,3.0,0.0,3.285714,24.0,1.0,24.0
en_native_00131,en,5.0,7.0,3.40625,24.0,0.106445,0.575,0.484848,0.0,1.0,4.142857,33.0,1.0,33.0
en_native_00132,en,6.0,10.0,3.142857,19.0,0.06414,0.644231,0.56,8.0,0.0,6.0,50.0,1.0,50.0
en_native_00133,en,4.0,7.0,3.666667,30.0,0.081481,0.759615,0.630435,6.0,0.0,5.571429,46.0,1.0,46.0
en_native_00134,en,4.0,7.0,3.53125,29.0,0.110352,0.6025,0.454545,3.0,1.0,4.142857,33.0,1.0,33.0
en_native_00135,en,1.0,5.0,2.894737,14.0,0.152355,0.461538,0.4,0.0,0.0,2.285714,20.0,1.0,20.0
en_native_00136,en,3.0,6.0,3.516129,28.0,0.113424,0.629412,0.53125,0.0,0.0,3.714286,32.0,1.0,32.0
en_native_00137,en,3.0,4.0,3.64,13.0,0.1456,0.427273,0.192308,0.0,3.0,2.428571,26.0,1.0,26.0
en_native_00138,en,3.0,6.0,3.647059,23.0,0.107266,0.5675,0.542857,3.0,3.0,4.428571,35.0,1.0,35.0
en_native_00139,en,2.0,4.0,3.578947,14.0,0.188366,0.8,0.4,3.0,0.0,2.571429,20.0,1.0,20.0
en_native_00140,en,2.0,5.0,3.052632,14.0,0.160665,0.609091,0.65,0.0,0.0,2.571429,20.0,1.0,20.0
en_native_00141,en,3.0,8.0,3.765957,21.0,0.080127,0.695833,0.5,3.0,0.0,4.714286,48.0,1.0,48.0
en_native_00142,en,5.0,6.0,4.022727,43.0,0.091426,0.528571,0.288889,5.0,0.0,5.857143,45.0,1.0,45.0
en_native_00143,en,3.0,6.0,2.727273,16.0,0.123967,0.692308,0.416667,3.0,0.0,2.857143,24.0,2.0,12.0
en_native_00144,en,5.0,8.0,3.317073,36.0,0.080904,0.391304,0.452381,3.0,0.0,4.714286,42.0,1.0,42.0
en_native_00145,en,4.0,5.0,3.714286,15.0,0.106122,0.716667,0.555556,3.0,2.0,4.428571,36.0,1.0,36.0
en_native_00146,en,1.0,3.0,3.5,12.0,0.194444,0.783333,0.684211,0.0,0.0,2.428571,19.0,1.0,19.0
en_native_00147,en,4.0,3.0,2.8,13.0,0.093333,0.646667,0.484848,2.0,2.0,4.0,33.0,3.0,11.0
en_native_00148,en,2.0,6.0,4.210526,15.0,0.221607,0.427273,0.5,0.0,1.0,2.142857,20.0,1.0,20.0
en_native_00149,en,7.0,5.0,3.925926,17.0,0.145405,0.558333,0.392857,4.0,1.0,3.285714,28.0,1.0,28.0
en_native_00150,en,1.0,5.0,4.068966,22.0,0.140309,0.722222,0.633333,0.0,0.0,3.285714,30.0,1.0,30.0
en_native_00151,en,6.0,7.0,4.470588,31.0,0.131488,0.494737,0.314286,6.0,0.0,3.714286,35.0,1.0,35.0
en_native_00152,en,2.0,8.0,4.196078,43.0,0.082276,0.717241,0.576923,0.0,0.0,5.142857,52.0,1.0,52.0
en_native_00153,en,6.0,5.0,4.245283,47.0,0.0801,0.354839,0.537037,4.0,2.0,5.714286,54.0,1.0,54.0
en_native_00154,en,6.0,8.0,4.119403,61.0,0.061484,0.689474,0.544118,7.0,5.0,7.571429,68.0,1.0,68.0
en_native_00155,en,2.0,5.0,3.0625,13.0,0.191406,0.6125,0.647059,0.0,0.0,2.0,17.0,1.0,17.0
en_native_00156,en,3.0,4.0,2.809524,9.0,0.133787,0.284615,0.5,4.0,0.0,2.0,22.0,1.0,22.0
en_native_00157,en,3.0,4.0,3.576923,13.0,0.137574,0.235294,0.592593,0.0,2.0,2.857143,27.0,1.0,27.0
en_native_00158,en,3.0,7.0,3.461538,17.0,0.133136,0.6,0.740741,0.0,0.0,3.285714,27.0,1.0,27.0
en_native_00159,en,4.0,3.0,3.482759,14.0,0.120095,0.457895,0.5,6.0,0.0,3.857143,30.0,1.0,30.0
en_native_00160,en,3.0,6.0,3.322581,16.0,0.10718,0.373529,0.5625,0.0,0.0,3.285714,32.0,1.0,32.0
en_native_00161,en,2.0,6.0,3.366667,25.0,0.112222,0.315789,0.612903,3.0,1.0,3.857143,31.0,1.0,31.0
en_native_00162,en,4.0,4.0,3.0,10.0,0.157895,0.428571,0.35,0.0,1.0,2.714286,20.0,1.0,20.0
en_native_00163,en,6.0,4.0,3.333333,24.0,0.111111,0.133333,0.290323,3.0,0.0,3.857143,31.0,1.0,31.0
en_native_00164,en,3.0,3.0,1.8,5.0,0.18,0.6,0.363636,0.0,0.0,1.428571,11.0,1.0,11.0
en_native_00165,en,8.0,8.0,3.171429,31.0,0.090612,0.62,0.333333,6.0,0.0,4.857143,36.0,1.0,36.0
en_native_00166,en,3.0,4.0,4.033333,26.0,0.134444,0.69,0.645161,3.0,0.0,3.428571,31.0,1.0,31.0
en_native_00167,en,3.0,3.0,3.380952,15.0,0.160998,0.641667,0.590909,1.0,1.0,2.857143,22.0,1.0,22.0
en_native_00168,en,13.0,8.0,4.288288,84.0,0.038633,0.496667,0.508929,10.0,1.0,7.285714,112.0,1.0,112.0
en_native_00169,en,3.0,5.0,3.733333,14.0,0.248889,0.57,0.294118,3.0,0.0,1.714286,17.0,2.0,8.5
en_native_00170,en,2.0,4.0,2.5,10.0,0.208333,0.74,0.461538,3.0,0.0,1.571429,13.0,1.0,13.0
en_native_00171,en,3.0,5.0,2.947368,17.0,0.155125,0.673077,0.55,0.0,0.0,2.714286,20.0,1.0,20.0
en_native_00172,en,2.0,3.0,3.571429,13.0,0.255102,0.5,0.266667,0.0,0.0,1.857143,15.0,1.0,15.0
en_native_00173,en,3.0,5.0,3.5625,20.0,0.111328,0.427778,0.393939,3.0,0.0,3.285714,33.0,1.0,33.0
en_native_00174,en,3.0,6.0,3.956522,21.0,0.172023,0.416667,0.583333,0.0,0.0,3.142857,24.0,1.0,24.0
en_native_00175,en,4.0,4.0,3.529412,13.0,0.103806,0.65,0.514286,9.0,0.0,4.428571,35.0,1.0,35.0
en_native_00176,en,7.0,6.0,3.413793,27.0,0.117717,0.588235,0.266667,5.0,0.0,3.571429,30.0,1.0,30.0
en_native_00177,en,2.0,5.0,3.473684,18.0,0.182825,0.592308,0.45,0.0,3.0,2.285714,20.0,1.0,20.0
en_native_00178,en,1.0,4.0,2.733333,13.0,0.182222,0.335714,0.375,0.0,0.0,0.571429,16.0,1.0,16.0
en_native_00179,en,1.0,3.0,3.210526,14.0,0.168975,0.759091,0.65,0.0,0.0,2.285714,20.0,1.0,20.0
en_native_00180,en,1.0,3.0,2.933333,8.0,0.195556,0.7125,0.6875,0.0,0.0,2.0,16.0,1.0,16.0
en_native_00181,en,2.0,3.0,2.352941,7.0,0.138408,0.67,0.631579,0.0,0.0,2.428571,19.0,2.0,9.5
en_native_00182,en,5.0,5.0,2.736842,14.0,0.144044,0.581818,0.25,4.0,0.0,2.428571,20.0,1.0,20.0
en_native_00183,en,4.0,5.0,3.269231,22.0,0.12574,0.596429,0.62963,3.0,0.0,3.428571,27.0,1.0,27.0
en_native_00184,en,9.0,10.0,4.279412,68.0,0.062933,0.645556,0.42029,14.0,1.0,7.857143,69.0,1.0,69.0
en_native_00185,en,2.0,5.0,3.227273,19.0,0.146694,0.533333,0.608696,3.0,0.0,2.857143,23.0,1.0,23.0
en_native_00186,en,3.0,5.0,3.652174,23.0,0.15879,0.641667,0.291667,3.0,0.0,2.714286,24.0,1.0,24.0
en_native_00187,en,2.0,6.0,2.421053,15.0,0.127424,0.475,0.6,3.0,1.0,2.142857,20.0,1.0,20.0
en_native_00188,en,4.0,6.0,4.594595,26.0,0.124178,0.628,0.552632,0.0,4.0,4.714286,38.0,1.0,38.0
en_native_00189,en,3.0,4.0,3.157895,14.0,0.166205,0.640909,0.5,0.0,1.0,2.714286,20.0,1.0,20.0
en_native_00190,en,2.0,4.0,3.291667,21.0,0.137153,0.696429,0.6,0.0,0.0,3.428571,25.0,1.0,25.0
en_native_00191,en,6.0,10.0,3.763636,46.0,0.06843,0.723077,0.607143,11.0,3.0,7.285714,56.0,1.0,56.0
en_native_00192,en,2.0,4.0,2.73913,12.0,0.119093,0.284615,0.708333,0.0,2.0,2.428571,24.0,1.0,24.0
en_native_00193,en,2.0,8.0,3.526316,31.0,0.092798,0.482,0.769231,0.0,1.0,4.571429,39.0,1.0,39.0
en_native_00194,en,3.0,6.0,3.205882,26.0,0.094291,0.594444,0.6,3.0,1.0,3.571429,35.0,1.0,35.0
en_native_00195,en,1.0,5.0,2.875,14.0,0.119792,0.67,0.76,0.0,1.0,3.285714,25.0,1.0,25.0
en_native_00196,en,8.0,7.0,3.771429,30.0,0.107755,0.742105,0.416667,10.0,1.0,4.0,36.0,1.0,36.0
en_native_00197,en,3.0,5.0,3.153846,19.0,0.121302,0.984615,0.555556,3.0,0.0,3.428571,27.0,1.0,27.0
en_native_00198,en,1.0,3.0,2.818182,9.0,0.256198,0.4625,0.5,0.0,0.0,1.428571,12.0,1.0,12.0
en_native_00199,en,5.0,6.0,3.407407,23.0,0.1262,0.484375,0.535714,6.0,0.0,3.571429,28.0,1.0,28.0
en_native_00200,en,2.0,5.0,3.571429,24.0,0.127551,0.570588,0.655172,0.0,1.0,3.285714,29.0,1.0,29.0
en_native_00201,en,1.0,3.0,3.4375,14.0,0.214844,0.95,0.705882,0.0,1.0,2.285714,17.0,1.0,17.0
en_native_00202,en,2.0,6.0,3.04,21.0,0.1216,0.753125,0.692308,3.0,1.0,3.285714,26.0,1.0,26.0
en_native_00203,en,4.0,5.0,3.807692,26.0,0.14645,0.716667,0.592593,3.0,2.0,3.428571,27.0,1.0,27.0
en_native_00204,en,3.0,4.0,2.8125,13.0,0.175781,0.7,0.470588,4.0,2.0,2.0,17.0,1.0,17.0
en_native_00205,en,1.0,5.0,2.789474,13.0,0.146814,0.621429,0.65,0.0,1.0,2.285714,20.0,1.0,20.0
en_native_00206,en,4.0,5.0,4.23913,26.0,0.092155,0.739655,0.680851,9.0,2.0,6.0,47.0,1.0,47.0
en_native_00207,en,4.0,6.0,4.032258,27.0,0.130073,0.671053,0.65625,6.0,2.0,4.428571,32.0,1.0,32.0
en_native_00208,en,1.0,4.0,2.625,11.0,0.164062,0.672222,0.588235,0.0,0.0,2.142857,17.0,1.0,17.0
en_native_00209,en,8.0,7.0,2.892857,23.0,0.103316,0.615789,0.172414,10.0,1.0,3.714286,29.0,1.0,29.0
en_native_00210,en,1.0,4.0,4.62963,16.0,0.171468,0.669444,0.714286,0.0,4.0,3.571429,28.0,1.0,28.0
en_native_00211,en,6.0,8.0,3.722222,35.0,0.103395,0.652778,0.567568,9.0,0.0,4.857143,37.0,1.0,37.0
