id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
058,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""B"": 1}"
059,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
060,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
061,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
062,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
063,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,8,8,1,7,7,"{""B"": 2, ""C"": 3}"
064,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
065,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
066,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
067,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
068,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
069,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
070,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
071,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
072,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
073,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
074,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
075,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""B"": 4, ""C"": 1}"
076,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
077,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,7,11,3,8,4,"{""B"": 4, ""C"": 1}"
078,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,11,13,9,4,2,"{""A"": 4, ""B"": 1}"
079,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,13,10,8,2,5,"{""A"": 4, ""C"": 1}"
080,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
081,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
082,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,8,10,3,7,5,"{""B"": 3, ""C"": 2}"
083,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
084,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""C"": 1}"
085,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
086,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
087,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
088,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
089,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
090,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
091,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
092,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,9,9,3,6,6,"{""B"": 3, ""C"": 2}"
093,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,6,11,2,9,4,"{""A"": 1, ""B"": 4}"
094,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
095,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
096,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
097,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
098,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
099,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
100,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,6,9,0,9,6,"{""B"": 4, ""C"": 1}"
101,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
102,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
103,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
104,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
105,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
106,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
107,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",9,10,11,6,5,4,"{""A"": 1, ""B"": 2, ""C"": 2}"
108,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
109,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
110,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
111,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
112,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
113,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
114,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
115,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
116,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
117,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
118,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
119,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
120,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
121,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
122,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
123,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
124,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
125,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""A"": 1, ""B"": 4}"
126,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
127,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
128,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,11,6,2,4,9,"{""B"": 1, ""C"": 4}"
129,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
130,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""A"": 1, ""B"": 3, ""C"": 1}"
131,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
132,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
133,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,14,8,7,1,7,"{""A"": 2, ""C"": 3}"
134,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
135,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
136,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,11,6,2,4,9,"{""B"": 1, ""C"": 4}"
137,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
138,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
139,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
140,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
141,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
142,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
143,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
144,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,7,8,0,8,7,"{""B"": 3, ""C"": 2}"
145,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,11,12,8,4,3,"{""A"": 3, ""B"": 1, ""C"": 1}"
146,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
147,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
148,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
149,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
150,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
151,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
152,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""A"": 1, ""B"": 4}"
153,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
154,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,6,11,2,9,4,"{""A"": 1, ""B"": 4}"
155,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,13,8,6,2,7,"{""A"": 2, ""C"": 3}"
156,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,7,8,0,8,7,"{""B"": 3, ""C"": 2}"
157,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
158,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,6,9,0,9,6,"{""B"": 4, ""C"": 1}"
159,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""B"": 4, ""C"": 1}"
160,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
161,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",9,10,11,6,5,4,"{""A"": 3, ""B"": 1, ""C"": 1}"
162,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
163,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
164,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,8,8,1,7,7,"{""B"": 2, ""C"": 3}"
165,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,6,12,3,9,3,"{""A"": 1, ""B"": 4}"
166,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
167,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
168,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
169,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
170,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,11,8,4,4,7,"{""A"": 1, ""B"": 2, ""C"": 2}"
171,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,13,10,8,2,5,"{""A"": 3, ""C"": 2}"
172,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
173,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
174,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,8,10,3,7,5,"{""A"": 1, ""B"": 3, ""C"": 1}"
175,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
176,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
177,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
178,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
179,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,10,9,4,5,6,"{""A"": 1, ""B"": 2, ""C"": 2}"
180,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,12,8,5,3,7,"{""A"": 1, ""B"": 1, ""C"": 3}"
181,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
182,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
183,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
184,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,12,6,3,3,9,"{""A"": 1, ""C"": 4}"
185,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,9,8,2,6,7,"{""B"": 2, ""C"": 3}"
186,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
187,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
188,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
189,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,11,8,4,4,7,"{""A"": 2, ""B"": 1, ""C"": 2}"
190,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
191,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
192,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
193,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
194,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
195,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,11,7,3,4,8,"{""B"": 1, ""C"": 4}"
196,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
197,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,11,12,8,4,3,"{""A"": 3, ""B"": 1, ""C"": 1}"
198,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
199,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,14,11,10,1,4,"{""A"": 5}"
200,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
