id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
089,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
090,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
091,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
092,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",9,8,7
093,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
094,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
095,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
096,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
097,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
098,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
099,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
100,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7
101,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
102,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
103,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
104,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
105,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
106,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
107,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",7,9,8
108,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
109,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
110,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
111,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
112,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
113,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
114,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
115,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
116,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
117,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
118,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
119,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
120,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
121,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
122,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
123,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
124,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
125,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
126,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
127,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
128,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
129,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
130,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
131,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
132,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
133,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
134,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
135,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
136,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
137,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
138,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
139,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
140,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
141,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
142,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
143,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
144,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
145,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
146,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
147,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
148,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
149,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
150,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
151,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
152,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11
153,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
154,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
155,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
156,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
157,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
158,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7
159,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
160,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
161,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",8,8,8
162,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
163,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
164,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
165,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9
166,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
167,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
168,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
169,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
170,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",9,8,7
171,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
172,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
173,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
174,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",9,7,8
175,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
176,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
177,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
178,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
179,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,9,7
180,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
181,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
182,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
183,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
184,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
185,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
186,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
187,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
188,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
189,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,8,6
190,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
191,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
192,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
193,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
194,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
195,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
196,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5
197,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
198,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
199,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
200,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12
